ppo_gnn_LSTM-PreRshaping,ppo_gnn_LSTM-PreRshaping_initial_local_crossings,ppo_gnn_LSTM-PreRshaping_improvement,ppo_gnn_LSTM-PreRshaping_solved,ppo_gnn_LSTM-PreRshaping_runtime
17,20,3,False,3.77
9,16,7,False,3.04
14,19,5,False,3.26
3,4,1,False,2.42
10,15,5,False,3.0
10,10,0,False,3.24
7,7,0,False,2.27
15,21,6,False,4.01
5,5,0,False,2.23
3,4,1,False,2.35
6,7,1,False,2.7
2,3,1,False,1.98
13,15,2,False,3.42
19,24,5,False,3.19
14,22,8,False,3.17
16,18,2,False,4.2
4,6,2,False,2.08
2,3,1,False,2.48
10,18,8,False,3.16
6,7,1,True,0.05
12,14,2,False,3.84
3,5,2,True,0.12
17,19,2,False,4.13
8,9,1,False,3.18
13,15,2,False,3.17
12,17,5,False,3.21
7,9,2,False,3.1
12,13,1,False,3.87
3,7,4,False,2.35
9,19,10,False,3.07
7,9,2,False,2.89
15,18,3,False,3.84
6,7,1,False,2.78
8,10,2,False,3.11
14,15,1,False,3.53
3,5,2,True,0.15
14,19,5,False,3.96
2,3,1,False,2.16
3,3,0,False,2.21
15,19,4,False,3.88
14,22,8,False,4.22
9,10,1,False,3.47
15,17,2,False,3.53
12,15,3,False,3.48
5,7,2,False,2.72
6,9,3,False,3.16
4,8,4,False,2.76
3,4,1,False,2.28
15,19,4,False,3.62
12,21,9,False,3.61
7,10,3,False,2.51
15,16,1,False,3.57
12,17,5,False,3.24
6,10,4,False,2.83
7,8,1,False,3.01
16,22,6,False,3.21
7,11,4,False,2.77
5,9,4,False,2.47
11,15,4,False,3.38
10,14,4,False,3.1
8,10,2,False,3.29
5,6,1,False,2.65
17,19,2,False,3.63
4,6,2,False,2.24
13,17,4,False,3.31
8,12,4,False,2.89
6,10,4,False,2.47
15,16,1,False,4.03
10,13,3,False,2.83
3,5,2,False,2.3
5,7,2,False,2.61
3,10,7,False,2.43
6,7,1,False,2.94
10,28,18,False,3.42
11,18,7,False,2.94
3,5,2,True,1.72
14,23,9,False,3.45
6,12,6,False,2.55
9,14,5,False,2.95
12,14,2,False,3.7
7,9,2,False,2.58
8,9,1,False,2.87
7,8,1,False,2.68
4,5,1,False,2.35
6,11,5,False,2.76
11,13,2,False,3.48
2,4,2,True,0.03
11,13,2,False,2.94
5,6,1,False,2.29
8,9,1,False,3.2
15,19,4,False,3.79
3,5,2,True,0.05
6,14,8,False,2.64
18,20,2,False,3.91
9,11,2,False,2.63
13,19,6,False,4.09
18,27,9,False,4.41
14,19,5,False,3.43
5,7,2,False,2.69
10,11,1,False,3.17
8,9,1,False,2.84
5,7,2,True,0.04
11,17,6,False,3.22
4,6,2,False,2.76
2,4,2,True,2.1
5,6,1,False,2.32
13,14,1,False,3.21
7,10,3,False,2.4
3,8,5,False,2.22
2,2,0,True,0.01
11,11,0,False,3.59
5,6,1,False,2.77
3,4,1,False,2.27
10,11,1,False,3.81
8,15,7,False,2.76
5,10,5,False,2.63
6,13,7,False,2.39
12,15,3,False,3.9
4,8,4,False,2.34
10,19,9,False,4.28
7,7,0,False,2.71
12,13,1,False,3.0
4,7,3,False,2.26
13,17,4,False,3.79
8,13,5,False,3.11
13,16,3,False,3.32
11,17,6,False,2.81
9,14,5,False,2.55
9,10,1,False,3.28
9,14,5,False,3.94
10,14,4,False,2.77
12,13,1,False,3.78
6,8,2,False,2.82
5,7,2,False,2.51
3,4,1,False,2.29
14,19,5,False,3.77
9,11,2,False,3.48
11,15,4,False,3.71
6,6,0,False,2.53
5,6,1,False,2.53
7,7,0,False,2.7
2,3,1,True,0.04
8,9,1,False,2.93
16,18,2,False,4.2
5,6,1,False,2.83
15,26,11,False,4.27
10,15,5,False,3.27
3,6,3,False,2.63
8,12,4,False,2.99
4,8,4,False,2.19
23,25,2,False,4.45
11,14,3,False,3.04
13,16,3,False,3.62
12,18,6,False,3.16
15,21,6,False,3.12
19,21,2,False,4.17
15,22,7,False,3.51
11,14,3,False,3.33
6,10,4,False,2.81
17,20,3,False,3.46
12,13,1,False,3.36
6,7,1,False,2.55
6,7,1,False,2.41
22,26,4,False,4.42
13,18,5,False,3.81
6,9,3,False,2.86
3,5,2,False,2.32
8,9,1,False,2.79
7,8,1,False,2.84
20,22,2,False,4.31
10,14,4,False,3.43
11,12,1,False,3.05
25,30,5,False,4.32
3,7,4,True,0.42
11,13,2,False,2.94
6,9,3,False,2.78
2,4,2,True,0.95
3,4,1,False,2.24
20,21,1,False,4.05
9,12,3,False,3.31
5,7,2,False,2.97
20,28,8,False,3.91
6,7,1,False,3.42
17,20,3,False,4.23
3,6,3,True,0.02
5,8,3,False,2.57
10,17,7,False,2.76
19,32,13,False,4.39
9,9,0,False,3.74
4,5,1,False,2.28
4,5,1,True,0.35
7,10,3,False,2.97
9,12,3,False,3.01
6,9,3,False,2.81
8,14,6,False,2.71
10,13,3,False,3.15
10,11,1,False,3.26
19,23,4,False,4.16
4,5,1,True,0.03
3,6,3,False,2.57
3,6,3,True,0.08
5,10,5,False,2.41
15,17,2,False,3.77
2,4,2,False,2.54
12,15,3,False,3.58
4,6,2,False,2.49
13,15,2,False,3.35
2,4,2,True,0.09
2,3,1,True,0.04
15,22,7,False,4.02
3,5,2,False,2.55
7,9,2,False,2.78
9,13,4,False,2.94
12,16,4,False,3.47
3,5,2,False,2.42
15,15,0,False,3.7
10,13,3,False,3.52
4,4,0,False,2.54
12,18,6,False,3.64
8,10,2,False,2.49
6,6,0,False,3.22
8,9,1,False,3.11
