instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_02_n121_m3.gml;121;390;0.053719;2;28;6.4463;0.137993;4;2.5918994604193704;3;4;0.40487433765011216;0.013558811954533878;0.16450728333627274;0.3870470264582993;0.5217391304347826;5;-0.11698860884409301;0.13799324596652246;0.10680379746835443;10.561784218412265;1.4404475080450685;270;
ba_03_n94_m3.gml;94;273;0.062457;3;24;5.8085;0.12994;5;2.5593028519692167;3;5;0.4021501738603362;0.01724806779863329;0.16535718734065594;0.39115592544260647;0.5636363636363636;3;-0.13592849547147193;0.12993958195160785;0.09379187137114783;8.856409716639545;1.4125328170282836;180;
ba_04_n169_m3.gml;169;498;0.03508;2;38;5.8935;0.091747;5;2.8244109099821433;3;5;0.41055026647814563;0.011025286704697115;0.20402409998764665;0.35586900416104084;0.5137614678899083;4;-0.11086097052719991;0.09174726159924733;0.06188281764318631;9.928804815973095;1.273808354490083;330;
ba_10000_n166_m3.gml;166;537;0.039211;2;27;6.4699;0.091192;5;2.8121643199303237;3;5;0.41983241166327534;0.011153705732018983;0.11234739777469725;0.35752222582823157;0.4896142433234421;4;-0.02286163319538944;0.0911918604347453;0.08494690818238601;10.276178182606827;1.1263133161474161;372;
ba_1002_n86_m3.gml;86;249;0.068126;2;21;5.7907;0.112775;4;2.542725797728502;3;4;0.3982452044079933;0.0187219073675982;0.1464984235549457;0.39332252491230874;0.5059523809523809;4;-0.18707101776323595;0.11277489610252947;0.08791208791208792;8.407498373111842;1.005048041616193;164;
ba_1009_n130_m3.gml;130;387;0.046154;2;32;5.9538;0.089975;5;2.7293491124260356;3;5;0.4296689244236597;0.013675834824090637;0.21495585568698514;0.3679017529720339;0.5375;4;-0.039374438466166686;0.08997509002724338;0.08449396471680594;9.490575580671516;1.2868810211595203;258;
ba_1014_n157_m3.gml;157;531;0.043361;2;32;6.7643;0.099248;5;2.7009614994523106;3;5;0.37746579337653646;0.011085647453019551;0.131599033242649;0.37225208983571534;0.4936708860759494;5;-0.0720594721649943;0.09924811076608502;0.09460946094609461;11.440663171853789;1.492748334721669;375;
ba_1016_n163_m3.gml;163;510;0.038628;2;36;6.2577;0.112805;5;2.7565960329707555;3;5;0.4142808102118805;0.011016223961898363;0.16045877093757188;0.36497534230897943;0.5242718446601942;4;-0.07939742951111214;0.11280502614797332;0.09499136442141623;11.188646713200889;1.315116861944044;348;
ba_1019_n84_m2.gml;84;170;0.048766;2;21;4.0476;0.175624;5;2.895408163265306;3;5;0.5443744459606512;0.023540153645942658;0.28064250425353454;0.3471680671168909;0.503030303030303;3;-0.1943612226336441;0.17562350278515693;0.06515301085883514;6.562944206033254;0.5436008874482167;87;
ba_1021_n195_m3.gml;195;654;0.034576;3;27;6.7077;0.087261;5;2.8100986193293886;3;5;0.33337277873117965;0.009453801366626536;0.09242466370988453;0.35760339501932675;0.4813895781637717;5;-0.11072275136661557;0.08726054463838132;0.06516679596586501;10.726214210442809;1.4577264737351088;460;
ba_1023_n128_m3.gml;128;384;0.047244;2;34;6.0;0.134971;4;2.66015625;3;4;0.3020721082684563;0.013342082239720034;0.20477276609527428;0.37721493003310047;0.5521739130434783;4;-0.13098054195713907;0.13497056238621705;0.09844271412680757;10.00617886408592;1.257728324811255;257;
ba_1026_n118_m3.gml;118;351;0.050847;2;28;5.9492;0.116484;5;2.6884515943694343;3;5;0.4072208059909817;0.014753705285558001;0.19454027224692827;0.3730204705842988;0.5294117647058824;4;-0.09290877002841334;0.11648445209013504;0.07953340402969247;9.015650879452842;1.2790882635187297;234;
ba_1028_n139_m3.gml;139;408;0.04254;2;41;5.8705;0.123928;5;2.739506236737229;3;5;0.3870209397500076;0.012842027235082766;0.25626812751545447;0.36708241072106285;0.5587044534412956;4;-0.08421653378475753;0.1239278678035654;0.08783962015299393;10.16244915562353;1.3124388498239083;270;
ba_1035_n198_m1.gml;35;47;0.078992;2;9;2.6857;0.070476;7;3.3257142857142856;4;7;0.9053131153002777;0.07344028520499107;0.617052881758764;0.3016568258837161;0.4722222222222222;2;-0.08882144663631758;0.07047619047619048;0.05309734513274336;3.614422033113609;0.18420103526684894;13;
ba_1047_n178_m2.gml;177;359;0.023048;2;29;4.0565;0.050832;6;3.418557885665039;4;6;0.5524025564556075;0.013931322914373762;0.28487565062719594;0.29532987589257687;0.4512820512820513;3;-0.06908352510567599;0.050831792079600376;0.04349796103307658;7.482067421192902;0.5616452790470055;183;
ba_1049_n53_m3.gml;53;159;0.115385;3;22;6.0;0.177937;4;2.259878960484158;3;4;0.4956198315684414;0.025555650416915678;0.22294109825052066;0.4407597224485277;0.6265060240963856;4;-0.13171926707191967;0.17793726189952605;0.16013344453711426;8.374904126190437;1.473214622487174;107;
ba_1050_n89_m3.gml;89;264;0.067416;2;21;5.9326;0.123783;5;2.558010352228254;3;5;0.39148879528504144;0.01824228335270567;0.1322463568808548;0.39141782954367393;0.5146198830409356;4;-0.12433309605613567;0.12378283051657664;0.09762020398251578;8.716476355543282;1.2823795270860165;176;
ba_1051_n130_m2.gml;130;276;0.032916;2;34;4.2462;0.125335;5;3.038579881656805;3;5;0.5293738625872386;0.01611042784734645;0.34367764751962815;0.33220832908223497;0.5078740157480315;3;-0.14720922099225964;0.12533486498418625;0.06692531522793405;8.007587621372618;0.6733624018420491;147;
ba_1052_n167_m2.gml;167;334;0.024096;2;20;4.0;0.046411;6;3.412528236939295;4;6;0.5318902512862863;0.014745973551254557;0.1805920395985291;0.29538345070919336;0.4289405684754522;3;-0.06754544944675495;0.046411177309288204;0.03475513428120063;6.872349664990098;0.6033147689687938;168;
ba_1066_n140_m2.gml;140;290;0.029805;2;20;4.1429;0.099321;6;3.283469387755102;4;6;0.5407383463225754;0.016718054128126072;0.2109100147963194;0.307034576136994;0.45723684210526316;3;-0.11419026795503952;0.09932114460309949;0.05772594752186589;7.033560916723086;0.5756385160426314;151;
ba_106_n157_m2.gml;155;324;0.027147;2;22;4.1806;0.074393;6;3.2744224765868886;4;6;0.514756238846934;0.015004476864059407;0.16046358278562972;0.30795730578429253;0.42896935933147634;3;-0.15929675541983065;0.07439250308819868;0.04644412191582003;7.285577284888248;0.5993923630962759;170;
ba_1073_n100_m2.gml;98;198;0.041658;2;17;4.0408;0.073716;6;3.2013744273219493;4;6;0.5968297475873372;0.02327477382705659;0.2506785170921479;0.31482823420701284;0.45754716981132076;3;-0.03418692928746835;0.07371591493740352;0.08605341246290801;6.572510379805015;0.4862945121089496;101;
ba_1077_n155_m3.gml;155;465;0.038961;2;31;6.0;0.103878;5;2.781685744016649;3;5;0.36530032688753716;0.011763062996459583;0.1579333524272434;0.36107573918893693;0.5185185185185185;4;-0.10355027597168004;0.10387838186608027;0.0731357552581262;9.81285661743575;1.2917664754383853;311;
ba_1078_n129_m2.gml;128;265;0.032603;2;24;4.1406;0.093638;6;3.1236572265625;3;6;0.5176923517821661;0.017049626609173852;0.2556247679704756;0.32306767944181436;0.48846153846153845;3;-0.12248525646963826;0.09363816097851424;0.07003891050583658;7.740991945722854;0.617263059354048;138;
ba_1082_n179_m2.gml;174;363;0.024118;2;22;4.1724;0.045086;6;3.4186154049412076;4;6;0.55948209446855;0.014176605742027495;0.1828888654178508;0.294856566473515;0.4219512195121951;3;-0.059594153700161995;0.0450858350199121;0.03356031128404669;6.927315127863197;0.639804428793949;190;
ba_1084_n167_m2.gml;165;346;0.025573;2;25;4.1939;0.099914;6;3.2608999081726355;3;6;0.5326441828538141;0.013992536467472873;0.20387039494570217;0.30873265366748687;0.44931506849315067;3;-0.1490476629468279;0.09991441847568329;0.04380530973451328;7.31279938151818;0.655385072538049;182;
