instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
grafo1000.14.gml;13;19;0.24359;2;8;2.9231;0.239011;4;1.9171597633136095;2;4;0.5756395979652218;0.09790209790209789;0.6308080808080808;0.495693114980971;0.75;2;-0.28656554712892707;0.23901098901098902;0.16981132075471697;3.5930227500076684;0.6311747208942197;7;
grafo10000.38.gml;34;48;0.085561;2;5;2.8235;0.019608;9;3.6660899653979238;5;9;1.1753671295698875;0.08678698752228164;0.3125;0.2736804686071583;0.35106382978723405;2;-0.034482758620688087;0.0196078431372549;0.03;3.23630565865308;0.10694443306008458;15;
grafo10001.32.gml;4;4;0.666667;2;2;2.0;0.0;2;1.0;2;2;0.0;0.16666666666666666;0.16666666666666666;0.75;0.75;2;;0.0;0.0;1.9999999999999991;1.9999999999999993;1;
grafo10002.40.gml;24;29;0.105072;2;5;2.4167;0.0;8;3.5972222222222223;4;8;1.0374916331657278;0.12516469038208167;0.4604743083003953;0.2725828473595652;0.36507936507936506;2;-0.396917148362236;0.0;0.0;2.6941826339744717;0.11599192984471893;6;
grafo10003.40.gml;26;36;0.110769;2;7;2.7692;0.174176;6;2.8875739644970415;4;6;0.532938710021193;0.08346153846153846;0.3980555555555556;0.33730118273746673;0.43859649122807015;2;-0.2584269662921349;0.17417582417582417;0.10714285714285714;3.31614503921542;0.3330208469985074;11;
grafo10004.32.gml;21;26;0.12381;2;7;2.4762;0.0;6;2.9115646258503403;4;6;0.6834619092574915;0.1082706766917293;0.5649122807017544;0.3363408711899234;0.4878048780487805;2;-0.18918918918918964;0.0;0.0;3.0897791395486798;0.24736301573250274;6;
grafo10005.39.gml;30;40;0.091954;2;5;2.6667;0.0;6;3.1777777777777776;5;6;0.4955356249106168;0.08169129720853859;0.23152709359605908;0.307621421099746;0.3717948717948718;2;-0.45652173913043487;0.0;0.0;2.969509443656824;0.2753257784256657;11;
grafo10006.98.gml;74;112;0.041466;2;9;3.027;0.003604;8;3.9167275383491598;4;8;0.8188787787861144;0.04125529639228269;0.32362033049818434;0.2556667732558188;0.36318407960199006;2;-0.017757120724586357;0.0036036036036036037;0.01048951048951049;3.8091038637872647;0.23351407648231723;39;
grafo10007.31.gml;17;20;0.147059;2;4;2.3529;0.0;7;2.934256055363322;4;7;1.0017286097603766;0.14117647058823532;0.4388888888888889;0.32770346351068497;0.43243243243243246;2;-1.3569392523196379e-15;0.0;0.0;2.6042136838375463;0.2142515133226879;4;
grafo10008.42.gml;38;57;0.081081;2;9;3.0;0.083312;7;3.065096952908587;4;7;0.7443229275647868;0.05966492808598073;0.3445123695123696;0.3240564186885357;0.4567901234567901;2;-0.14721104082806197;0.08331244778613199;0.07407407407407407;3.9021196388137995;0.3485195935541638;20;
grafo10009.31.gml;31;37;0.07957;2;4;2.3871;0.0;10;4.258064516129032;5;10;1.319035374210379;0.11724137931034483;0.4283524904214559;0.23387049930832957;0.32608695652173914;2;-0.22169811320755012;0.0;0.0;2.6385652441130136;0.07956065247378948;7;
grafo1001.12.gml;5;5;0.5;2;2;2.0;0.0;2;1.2;2;2;0.0;0.16666666666666666;0.16666666666666666;0.6666666666666666;0.6666666666666666;2;;0.0;0.0;1.9999999999999993;1.3819660112501053;1;
grafo10010.39.gml;30;41;0.094253;2;5;2.7333;0.09;6;3.1844444444444444;4;6;0.6046119049072352;0.0819376026272578;0.2259852216748768;0.30654751255914875;0.37662337662337664;2;-0.24464285714285847;0.09000000000000001;0.07228915662650602;3.117803532766895;0.3056300684397547;12;
grafo10011.31.gml;31;36;0.077419;2;4;2.3226;0.0;10;4.757544224765869;6;10;1.2325789144866324;0.13503893214682983;0.5770881226053638;0.2086320803140748;0.297029702970297;2;-0.4140752864157115;0.0;0.0;2.5283300023184565;0.0556571359448784;6;
grafo10012.40.gml;32;45;0.090726;2;5;2.8125;0.044792;11;3.9375;6;11;1.3136155973114814;0.1021505376344086;0.43541218637992835;0.25828216470173604;0.33695652173913043;2;-0.2908496732026144;0.04479166666666667;0.030303030303030304;3.2658429342691973;0.05270592847618083;14;
grafo10013.31.gml;31;36;0.077419;2;4;2.3226;0.0;10;4.757544224765869;6;10;1.2325789144866324;0.13503893214682983;0.5770881226053638;0.2086320803140748;0.297029702970297;2;-0.4140752864157115;0.0;0.0;2.5283300023184565;0.0556571359448806;6;
grafo10014.39.gml;32;45;0.090726;2;5;2.8125;0.023958;6;3.126953125;4;6;0.6487668591258342;0.07426075268817205;0.20229390681003584;0.313943865002261;0.3875;2;-0.15537848605577576;0.02395833333333333;0.03125;3.2044671434459953;0.31749163205519115;14;
