instance;solved;time;GCN;LCN;stress
ba_4833_n71_m1.gml;1;1.0981;1.0;1.0;0.5262
ba_4888_n96_m2.gml;0;900.0;;;
ba_4894_n52_m2.gml;1;372.6112;76.0;8.0;0.5585
ba_4986_n93_m2.gml;0;900.0;;;
ba_5043_n112_m1.gml;1;2.9721;1.0;1.0;0.4843
ba_5060_n198_m1.gml;1;1.157;1.0;1.0;0.5822
ba_508_n81_m3.gml;0;900.0;;;
ba_5091_n54_m3.gml;0;900.0;;;
ba_5098_n78_m3.gml;0;900.0;;;
ba_5149_n93_m2.gml;0;900.0;;;
ba_514_n51_m3.gml;0;900.0;;;
ba_5151_n153_m2.gml;0;900.0;;;
ba_5154_n70_m3.gml;0;900.0;;;
ba_5193_n121_m3.gml;0;900.0;;;
ba_5213_n101_m3.gml;0;900.0;;;
ba_5226_n94_m2.gml;0;900.0;;;
ba_5232_n51_m3.gml;0;900.0;;;
ba_5276_n95_m2.gml;0;900.0;;;
ba_5280_n130_m2.gml;0;900.0;;;
ba_5299_n132_m1.gml;1;1.5105;1.0;1.0;0.4706
ba_5306_n100_m2.gml;0;900.0;;;
ba_5313_n119_m1.gml;1;2.2311;1.0;1.0;0.5649
ba_5314_n155_m1.gml;1;1.0668;1.0;1.0;0.5916
ba_5322_n53_m2.gml;1;250.2441;45.0;8.0;0.5753
ba_5336_n134_m1.gml;1;13.395;4.0;2.0;0.5683
ba_5352_n66_m3.gml;0;900.0;;;
ba_5358_n74_m2.gml;0;900.0;;;
ba_5359_n114_m2.gml;0;900.0;;;
ba_5363_n50_m3.gml;0;900.0;;;
ba_5380_n53_m3.gml;0;900.0;;;
ba_5388_n143_m3.gml;0;900.0;;;
ba_5395_n122_m3.gml;0;900.0;;;
ba_5427_n94_m2.gml;0;900.0;;;
ba_542_n76_m2.gml;0;900.0;;;
ba_5430_n50_m2.gml;1;673.6075;122.0;10.0;0.5703
ba_5434_n93_m3.gml;0;900.0;;;
ba_5461_n134_m2.gml;0;900.0;;;
ba_5490_n91_m3.gml;0;900.0;;;
ba_5497_n61_m3.gml;0;900.0;;;
ba_5528_n129_m2.gml;0;900.0;;;
ba_5534_n65_m3.gml;0;900.0;;;
ba_5580_n75_m3.gml;0;900.0;;;
ba_5583_n67_m2.gml;0;900.0;;;
ba_5589_n55_m2.gml;0;900.0;;;
ba_5608_n86_m3.gml;0;900.0;;;
