instance;solved;time;GCN;LCN;stress
ba_3998_n129_m2.gml;0;900.0;;;
ba_3999_n65_m3.gml;0;900.0;;;
ba_4010_n100_m3.gml;0;900.0;;;
ba_4022_n87_m3.gml;0;900.0;;;
ba_4147_n116_m2.gml;0;900.0;;;
ba_414_n63_m2.gml;0;900.0;;;
ba_4168_n101_m3.gml;0;900.0;;;
ba_4173_n112_m2.gml;0;900.0;;;
ba_4175_n60_m3.gml;0;900.0;;;
ba_4179_n78_m2.gml;0;900.0;;;
ba_418_n87_m2.gml;0;900.0;;;
ba_4206_n119_m3.gml;0;900.0;;;
ba_4215_n126_m3.gml;0;900.0;;;
ba_4228_n93_m2.gml;0;900.0;;;
ba_4258_n79_m2.gml;0;900.0;;;
ba_426_n137_m3.gml;0;900.0;;;
ba_4271_n102_m2.gml;0;900.0;;;
ba_4285_n92_m2.gml;0;900.0;;;
ba_4300_n110_m2.gml;0;900.0;;;
ba_4311_n131_m2.gml;0;900.0;;;
ba_4343_n72_m2.gml;0;900.0;;;
ba_4362_n54_m3.gml;0;900.0;;;
ba_4387_n149_m1.gml;1;106.6227;18.0;4.0;0.6262
ba_4394_n87_m2.gml;0;900.0;;;
ba_4415_n120_m2.gml;0;900.0;;;
