instance;solved;time;GCN;LCN;stress
grafo9103.80.gml;1;58.8388;18;3;0.5628
grafo9104.82.gml;1;128.9114;25;3;0.6176
grafo9115.82.gml;1;101.5442;24;4;0.5952
grafo9120.64.gml;1;39.1702;20;4;0.5644
grafo9128.64.gml;1;107.8468;28;5;0.6598
grafo9136.67.gml;1;35.4941;16;4;0.5741
grafo914.26.gml;1;9.0012;7;2;0.5465
grafo9150.82.gml;1;93.6063;35;5;0.5741
grafo9151.63.gml;1;20.9118;11;4;0.5161
grafo9153.74.gml;1;83.0929;25;5;0.7257
grafo9154.66.gml;1;124.1776;34;6;0.5873
grafo9157.68.gml;1;48.7371;21;5;0.5904
grafo9160.72.gml;1;77.1895;28;4;0.5486
grafo9164.66.gml;1;61.6556;28;5;0.6011
grafo9167.67.gml;1;60.3576;14;2;0.5925
grafo9169.67.gml;1;188.9495;43;5;0.6203
grafo9174.81.gml;1;31.1709;11;4;0.605
grafo9181.67.gml;1;76.5805;29;5;0.5858
grafo9185.64.gml;1;32.8597;12;3;0.5893
grafo9191.69.gml;1;29.3584;15;3;0.6249
grafo9197.70.gml;1;107.7878;53;7;0.5587
grafo9198.81.gml;1;360.1201;70;7;0.5942
grafo9201.83.gml;1;72.7365;18;5;0.612
grafo9204.71.gml;1;145.0203;43;6;0.6774
grafo9206.66.gml;1;11.4504;7;2;0.5915
grafo9217.88.gml;1;147.5307;29;6;0.7008
grafo9224.65.gml;1;94.8522;32;5;0.5783
grafo9228.81.gml;1;212.3421;54;7;0.6383
grafo9230.83.gml;1;159.0351;44;7;0.6467
grafo9231.81.gml;1;174.0174;40;7;0.6251
grafo9232.69.gml;1;41.7295;17;4;0.6416
grafo9238.85.gml;1;21.0494;7;2;0.6405
grafo9239.62.gml;1;19.117;7;3;0.6707
grafo9242.72.gml;1;56.1167;21;4;0.6691
grafo9245.82.gml;1;75.2499;24;4;0.628
grafo9248.64.gml;1;88.1038;38;6;0.615
grafo925.21.gml;1;0.7839;2;1;0.6221
grafo9250.73.gml;1;39.0695;12;2;0.5383
grafo9256.79.gml;1;32.0128;12;3;0.6157
grafo9257.62.gml;1;31.6219;14;4;0.631
grafo9260.68.gml;1;53.7135;21;4;0.649
grafo9262.72.gml;1;56.8852;16;3;0.6176
grafo9264.70.gml;1;21.3796;7;3;0.6629
grafo9283.66.gml;1;34.982;8;3;0.5954
grafo9284.68.gml;1;57.0065;27;5;0.6017
grafo9285.86.gml;1;96.2666;22;3;0.6807
grafo9291.63.gml;1;44.392;15;4;0.5985
grafo9293.74.gml;1;51.3025;20;5;0.5835
grafo9299.92.gml;1;166.8895;43;5;0.683
grafo9306.83.gml;1;75.2604;26;5;0.6077
grafo9318.81.gml;1;93.4402;27;7;0.6164
grafo9320.66.gml;1;27.7033;14;5;0.6427
grafo9332.89.gml;1;61.3264;15;3;0.6808
grafo9333.80.gml;1;117.6785;39;6;0.6112
grafo9338.86.gml;1;51.2226;21;5;0.6256
grafo9339.83.gml;1;64.2883;26;6;0.5804
grafo9340.88.gml;1;98.6206;23;4;0.6388
grafo9350.63.gml;1;25.6513;11;3;0.6179
grafo9351.73.gml;1;11.0458;4;2;0.6166
grafo9352.80.gml;1;29.4055;12;4;0.6136
grafo9362.98.gml;1;376.8099;77;9;0.6184
grafo9363.70.gml;1;27.6831;11;4;0.5067
grafo9365.63.gml;1;21.7495;10;3;0.576
grafo9368.72.gml;1;29.4863;12;4;0.6168
grafo9373.70.gml;1;18.6411;10;3;0.5637
grafo9374.65.gml;1;23.0693;12;4;0.5831
grafo9379.61.gml;1;4.1504;3;2;0.5243
grafo9383.63.gml;1;38.4938;17;3;0.603
grafo9387.66.gml;1;16.2026;10;3;0.6195
grafo9390.63.gml;1;81.1775;28;5;0.5853
grafo9394.64.gml;1;19.5822;11;4;0.6015
grafo9396.88.gml;1;145.8733;41;6;0.6256
grafo9398.66.gml;1;46.0956;19;4;0.6153
grafo9415.65.gml;1;30.1031;14;3;0.6064
grafo9425.78.gml;1;30.7089;8;3;0.6022
grafo943.21.gml;1;0.1922;1;1;0.4828
grafo9430.65.gml;1;6.1125;6;2;0.5337
grafo9444.65.gml;1;71.8308;17;4;0.5762
grafo9449.72.gml;1;58.1371;24;4;0.6129
grafo9450.84.gml;1;241.1822;58;8;0.6694
grafo9468.79.gml;1;76.8533;31;6;0.6487
grafo9483.83.gml;1;42.8922;13;4;0.653
grafo9484.60.gml;1;16.6994;11;3;0.5664
grafo9486.81.gml;1;140.4992;37;6;0.6582
grafo9495.67.gml;1;74.5521;29;5;0.5669
grafo9503.77.gml;1;116.5154;32;8;0.6721
grafo9514.68.gml;1;27.2537;18;5;0.5884
grafo9515.67.gml;1;22.3749;8;2;0.6283
grafo9541.80.gml;1;55.2311;18;4;0.6338
grafo9543.65.gml;1;73.2869;20;5;0.6488
grafo9544.62.gml;1;51.6621;29;4;0.5394
grafo9561.83.gml;1;15.9924;4;1;0.6647
grafo9562.66.gml;1;42.5623;18;4;0.5543
grafo9574.74.gml;1;144.3542;32;5;0.6203
grafo9587.62.gml;1;101.4926;33;5;0.6172
grafo9590.74.gml;1;54.7113;23;6;0.5986
grafo9599.81.gml;1;43.9694;17;6;0.6263
grafo9600.65.gml;1;11.0568;9;3;0.6094
grafo9601.64.gml;1;84.353;21;3;0.6698
grafo9608.83.gml;1;16.8504;8;4;0.6217
grafo9613.67.gml;1;37.6924;19;5;0.5891
grafo9630.95.gml;1;118.5123;35;6;0.6635
grafo9636.76.gml;1;43.8829;19;4;0.6133
grafo9639.72.gml;1;1.7461;1;1;0.4453
grafo9648.64.gml;1;4.2588;3;2;0.6618
grafo9658.67.gml;1;1.1779;1;1;0.5176
grafo9662.84.gml;1;151.983;41;7;0.5623
grafo9673.64.gml;1;49.4889;13;4;0.6841
grafo9682.65.gml;1;118.6382;42;6;0.6098
grafo9688.67.gml;1;7.0032;4;2;0.5594
grafo9690.63.gml;1;46.6111;22;4;0.6559
grafo9696.62.gml;1;22.6344;15;4;0.5651
grafo9698.79.gml;1;42.5838;25;6;0.6297
grafo9704.80.gml;1;64.2722;30;7;0.6439
grafo9705.73.gml;1;20.2444;7;3;0.5668
grafo9712.67.gml;1;24.9866;9;4;0.6283
grafo9713.73.gml;1;77.4148;29;5;0.5795
grafo9718.76.gml;1;15.5544;6;3;0.6751
grafo9721.79.gml;1;230.7433;70;8;0.546
grafo9722.79.gml;1;100.1433;25;4;0.5538
grafo9729.69.gml;1;118.6282;24;4;0.5662
grafo9731.81.gml;1;48.331;13;5;0.6898
grafo9737.74.gml;1;32.6146;11;4;0.565
grafo9745.84.gml;1;141.5882;46;8;0.6435
grafo9748.67.gml;1;103.4906;26;4;0.6153
grafo9750.77.gml;1;60.2082;21;4;0.6763
grafo9751.64.gml;1;79.9158;28;5;0.6252
grafo9753.85.gml;1;122.0574;40;8;0.6847
grafo9762.78.gml;1;73.9088;29;5;0.651
grafo9763.69.gml;1;47.2346;17;4;0.6466
grafo9770.79.gml;1;53.7178;17;3;0.5853
grafo9777.84.gml;1;46.8285;22;4;0.6104
grafo9796.73.gml;1;50.4084;23;5;0.6521
grafo9797.80.gml;1;84.8546;20;3;0.6512
grafo9801.69.gml;1;21.1026;9;3;0.6648
grafo9807.86.gml;1;34.9795;11;4;0.7051
grafo9808.72.gml;1;19.5601;10;4;0.5776
grafo9809.67.gml;1;27.2357;10;4;0.6239
grafo9821.77.gml;1;13.2871;6;2;0.543
grafo9822.62.gml;1;58.208;20;4;0.6158
grafo9830.71.gml;1;9.3248;5;2;0.5974
grafo9835.77.gml;1;34.2736;12;4;0.572
grafo9836.62.gml;1;13.7505;7;3;0.6339
grafo9868.37.gml;1;1.5064;1;1;0.4468
grafo9871.38.gml;1;11.8839;5;2;0.6162
grafo9875.38.gml;1;4.4994;5;2;0.658
grafo9887.91.gml;1;167.9393;48;5;0.6027
grafo9905.33.gml;1;1.2112;1;1;0.5246
grafo9906.38.gml;1;1.4435;1;1;0.4847
grafo9914.91.gml;1;99.1498;29;6;0.6039
grafo9924.39.gml;1;3.1373;4;3;0.6251
grafo9927.40.gml;1;2.3916;4;2;0.6111
grafo9937.91.gml;1;152.9573;29;5;0.5538
grafo9945.91.gml;1;131.0149;36;6;0.5923
grafo9948.91.gml;1;158.2671;49;6;0.5791
grafo9950.100.gml;1;82.9422;20;4;0.6522
grafo9965.34.gml;1;4.9647;3;2;0.6056
grafo9972.41.gml;1;8.7923;8;4;0.5563
grafo9978.41.gml;1;3.8428;3;1;0.6146
grafo9983.91.gml;1;169.0982;36;6;0.5939
grafo9986.91.gml;1;171.4568;36;8;0.6042
grafo9987.91.gml;1;66.0151;23;5;0.5996
grafo9993.91.gml;1;158.7952;42;7;0.6156
grafo9997.40.gml;1;3.3081;4;2;0.6025
grafo10003.40.gml;1;1.5689;3;2;0.52
grafo10008.42.gml;1;13.8752;9;4;0.5972
grafo10020.38.gml;1;6.701;6;2;0.5758
grafo10027.38.gml;1;2.6446;5;2;0.5546
grafo10030.38.gml;1;4.2843;2;1;0.5229
grafo10054.40.gml;1;5.1861;5;2;0.5566
grafo10058.32.gml;1;1.4957;1;1;0.576
grafo10078.40.gml;1;2.1945;1;1;0.6509
grafo10087.39.gml;1;3.8308;3;2;0.5662
grafo10089.37.gml;1;3.5299;6;2;0.676
grafo10100.99.gml;1;239.8419;46;6;0.5855
grafo10103.98.gml;1;179.7508;30;4;0.642
grafo10107.93.gml;1;206.4726;52;8;0.6544
grafo10118.97.gml;1;131.6748;40;6;0.5943
grafo10125.99.gml;1;9.2708;4;2;0.5846
grafo10128.98.gml;1;197.2787;30;5;0.6619
grafo10130.97.gml;1;323.1377;76;8;0.6013
grafo10140.40.gml;1;1.2769;2;2;0.4623
grafo10144.98.gml;1;211.6123;38;6;0.61
grafo10149.95.gml;1;233.4721;49;5;0.6369
grafo10154.94.gml;1;269.3586;59;9;0.632
grafo10170.96.gml;1;98.7141;41;7;0.6317
grafo10193.38.gml;1;1.0484;1;1;0.6101
grafo10194.97.gml;1;163.5774;37;5;0.7202
grafo10195.99.gml;1;356.8405;64;7;0.5784
grafo10201.93.gml;1;89.5706;29;6;0.6008
grafo10204.100.gml;1;476.5115;68;6;0.6345
grafo10207.98.gml;1;247.3675;60;7;0.6674
grafo10214.94.gml;1;142.1117;36;7;0.6021
grafo10228.95.gml;1;244.0099;56;6;0.6092
grafo10240.97.gml;1;211.5037;48;7;0.671
grafo10243.95.gml;1;197.067;54;8;0.6182
grafo10250.100.gml;1;193.3976;33;5;0.6402
grafo10252.96.gml;1;217.8597;45;6;0.6198
grafo10260.98.gml;1;121.533;22;4;0.6195
grafo10262.100.gml;1;189.9358;52;7;0.6412
grafo10266.94.gml;1;274.1337;71;11;0.5632
grafo10276.41.gml;1;2.8473;4;2;0.6449
grafo10278.40.gml;1;2.2894;1;1;0.6329
grafo10280.37.gml;1;3.8452;4;2;0.5609
grafo10298.97.gml;1;443.3357;70;7;0.6867
grafo10301.94.gml;1;290.4486;61;7;0.6484
grafo10311.91.gml;1;41.5521;13;3;0.6059
grafo10317.91.gml;1;139.4394;29;5;0.6517
grafo10343.94.gml;1;12.6044;3;2;0.4972
grafo10344.100.gml;1;98.8664;25;6;0.6256
grafo1035.37.gml;1;6.9758;6;3;0.5676
grafo10352.95.gml;1;64.3978;17;3;0.6817
grafo10362.94.gml;1;255.622;48;6;0.6234
grafo10366.99.gml;1;173.2412;36;5;0.6657
grafo10370.98.gml;1;118.7989;35;6;0.5985
