instance;solved;time;GCN;LCN;stress
grafo2049.33.gml;1;0.5613;1;1;0.5229
grafo2086.39.gml;1;6.8953;8;3;0.5166
grafo2104.36.gml;1;0.9927;2;1;0.5267
grafo2109.11.gml;1;0.3207;1;1;0.4664
grafo2143.19.gml;1;0.7138;1;1;0.584
grafo2166.20.gml;1;0.8157;1;1;0.5661
grafo2182.38.gml;1;7.1791;6;2;0.6511
grafo2195.35.gml;1;3.1397;4;3;0.5114
grafo2223.38.gml;1;0.704;2;2;0.5442
grafo2226.39.gml;1;28.6809;11;3;0.6147
grafo2258.47.gml;1;1.4821;2;2;0.6358
grafo2302.16.gml;1;0.3209;1;1;0.4404
grafo2309.34.gml;1;4.5576;4;2;0.5177
grafo2316.40.gml;1;8.4861;9;3;0.5867
grafo2378.21.gml;1;0.4668;1;1;0.5899
grafo2398.37.gml;1;2.9887;2;1;0.6077
grafo2400.26.gml;1;1.7507;4;2;0.5644
grafo2431.86.gml;1;20.7345;13;5;0.5381
grafo2478.47.gml;1;5.6425;6;4;0.5792
grafo2483.25.gml;1;1.1211;2;2;0.6194
grafo2509.37.gml;1;1.0658;1;1;0.5987
grafo2558.34.gml;1;1.5066;1;1;0.5595
grafo2573.35.gml;1;1.511;1;1;0.5715
grafo2601.17.gml;1;1.297;1;1;0.5657
grafo2605.32.gml;1;0.7397;1;1;0.4846
grafo2631.34.gml;1;0.7579;1;1;0.6082
grafo2674.18.gml;1;0.307;1;1;0.5677
grafo2687.33.gml;1;2.78;4;3;0.5321
grafo271.53.gml;1;5.8324;4;2;0.5705
grafo2718.20.gml;1;0.3941;1;1;0.5231
grafo2723.18.gml;1;0.655;1;1;0.6218
grafo2726.38.gml;1;7.8137;7;2;0.514
grafo2762.76.gml;1;22.208;11;4;0.6004
grafo2777.37.gml;1;1.2273;1;1;0.492
grafo2787.24.gml;1;1.4887;3;2;0.5469
grafo2826.37.gml;1;3.0415;4;1;0.6589
grafo284.28.gml;1;0.6392;1;1;0.5616
grafo2840.27.gml;1;1.6146;3;2;0.5411
grafo2843.43.gml;1;0.9468;1;1;0.4949
grafo2851.40.gml;1;2.5559;2;1;0.5589
grafo2853.23.gml;1;2.0888;2;1;0.5996
grafo2864.39.gml;1;13.1609;12;3;0.5478
grafo2877.36.gml;1;7.543;8;3;0.5653
grafo2902.17.gml;1;0.8186;1;1;0.5781
grafo2915.27.gml;1;1.4557;3;1;0.6239
grafo2920.22.gml;1;1.8188;3;2;0.6237
grafo295.15.gml;1;0.3312;1;1;0.4577
grafo2973.37.gml;1;1.1822;1;1;0.5637
grafo2974.36.gml;1;1.1398;1;1;0.4699
grafo2981.26.gml;1;0.4938;1;1;0.4291
grafo2985.43.gml;1;4.8048;6;2;0.5926
grafo2986.38.gml;1;2.5241;3;1;0.6325
