instance;solved;time;GCN;LCN;stress
ba_2720_n154_m2.gml;1;0.0367;2401;50;0.3961
ba_2725_n126_m3.gml;1;0.0243;4322;71;0.3851
ba_2751_n73_m1.gml;1;0.0027;9;4;0.2219
ba_2766_n192_m1.gml;1;0.004;15;4;0.2462
ba_2782_n145_m3.gml;1;0.0398;6805;85;0.3928
ba_278_n105_m2.gml;1;0.0204;867;34;0.3656
ba_281_n105_m2.gml;1;0.0202;1047;36;0.3772
ba_282_n91_m2.gml;1;0.0151;679;23;0.3651
ba_2847_n52_m2.gml;1;0.0061;232;14;0.3649
ba_2870_n147_m2.gml;1;0.0392;3391;75;0.3874
ba_28_n108_m3.gml;1;0.0231;4015;76;0.3879
ba_2905_n197_m1.gml;1;0.006;39;5;0.3447
ba_2938_n142_m2.gml;1;0.0376;2078;57;0.3866
ba_2943_n115_m3.gml;1;0.0252;4385;69;0.3843
ba_2977_n56_m2.gml;1;0.007;369;20;0.3796
ba_2988_n198_m1.gml;1;0.0038;8;2;0.2837
ba_2996_n138_m3.gml;1;0.0343;5574;86;0.3885
ba_3017_n107_m3.gml;1;0.0232;3732;76;0.389
ba_3034_n57_m3.gml;1;0.0076;791;31;0.3715
ba_3053_n149_m3.gml;1;0.0423;7182;90;0.3911
ba_3111_n85_m2.gml;1;0.0137;523;21;0.3538
ba_3119_n111_m2.gml;1;0.0217;1341;41;0.373
ba_3137_n73_m3.gml;1;0.011;1544;41;0.3717
ba_3182_n122_m3.gml;1;0.0282;3899;63;0.3725
ba_3183_n110_m3.gml;1;0.0233;4288;71;0.3836
ba_3207_n100_m2.gml;1;0.0189;757;25;0.3631
ba_3215_n96_m3.gml;1;0.0174;2525;60;0.3714
ba_3216_n145_m2.gml;1;0.0339;1827;47;0.3747
ba_3246_n64_m3.gml;1;0.0088;1456;51;0.3766
ba_3251_n77_m3.gml;1;0.0111;1857;52;0.3777
ba_3252_n86_m3.gml;1;0.0146;2067;51;0.3793
ba_3269_n65_m3.gml;1;0.0091;2068;52;0.388
ba_3310_n68_m2.gml;1;0.0097;396;17;0.3596
ba_3312_n84_m1.gml;1;0.0023;5;2;0.3104
ba_3326_n68_m3.gml;1;0.0095;1371;47;0.376
ba_3371_n62_m2.gml;1;0.0084;388;15;0.3598
ba_3388_n104_m3.gml;1;0.0206;3360;70;0.3897
ba_3390_n51_m2.gml;1;0.0061;228;16;0.3477
ba_3396_n146_m3.gml;1;0.0395;6541;94;0.3895
ba_3452_n141_m2.gml;1;0.0368;2024;53;0.3725
ba_3461_n183_m1.gml;1;0.0058;42;5;0.3409
ba_3486_n55_m2.gml;1;0.007;190;14;0.3427
ba_3498_n72_m3.gml;1;0.0105;2548;72;0.3843
ba_34_n50_m3.gml;1;0.006;863;39;0.3745
ba_3500_n62_m3.gml;1;0.0083;1307;41;0.3633
ba_3560_n145_m3.gml;1;0.0406;7305;97;0.3934
ba_3565_n107_m3.gml;1;0.0187;3431;72;0.3831
ba_3570_n124_m1.gml;1;0.0023;8;3;0.2544
ba_3599_n86_m2.gml;1;0.014;930;31;0.3608
ba_3636_n131_m1.gml;1;0.0026;12;5;0.2641
