instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;0.0052;9;3;0.2894
grafo10008.42.gml;1;0.0031;28;4;0.2835
grafo10020.38.gml;1;0.0028;13;3;0.3298
grafo10027.38.gml;1;0.0025;13;3;0.3126
grafo10030.38.gml;1;0.0029;11;4;0.3195
grafo10054.40.gml;1;0.0023;7;2;0.2489
grafo10058.32.gml;1;0.0019;4;2;0.216
grafo10078.40.gml;1;0.0025;9;3;0.2357
grafo10087.39.gml;1;0.0027;20;3;0.2976
grafo10089.37.gml;1;0.0025;10;3;0.2416
grafo10100.99.gml;1;0.01;97;9;0.2956
grafo10103.98.gml;1;0.0104;80;6;0.3277
grafo10107.93.gml;1;0.0089;109;6;0.3182
grafo10118.97.gml;1;0.009;78;6;0.3488
grafo10125.99.gml;1;0.0073;32;4;0.3653
grafo10128.98.gml;1;0.0125;83;7;0.3266
grafo10130.97.gml;1;0.0084;135;10;0.3399
grafo10140.40.gml;1;0.0022;11;3;0.3515
grafo10144.98.gml;1;0.0103;79;7;0.3285
grafo10149.95.gml;1;0.0097;113;9;0.2859
grafo10154.94.gml;1;0.0094;126;8;0.3522
grafo10170.96.gml;1;0.0079;62;6;0.33
grafo10193.38.gml;1;0.0022;4;2;0.2652
grafo10194.97.gml;1;0.009;96;7;0.3391
grafo10195.99.gml;1;0.0096;121;10;0.325
grafo10201.93.gml;1;0.0086;96;8;0.3844
grafo10204.100.gml;1;0.0102;233;15;0.3671
grafo10207.98.gml;1;0.0101;136;9;0.3687
grafo10214.94.gml;1;0.0101;55;7;0.248
grafo10228.95.gml;1;0.0098;95;9;0.3359
grafo10240.97.gml;1;0.0107;133;12;0.3384
grafo10243.95.gml;1;0.0095;134;8;0.3479
grafo10250.100.gml;1;0.0107;127;14;0.3362
grafo10252.96.gml;1;0.0102;111;7;0.3453
grafo10260.98.gml;1;0.0087;85;7;0.3455
grafo10262.100.gml;1;0.0083;104;8;0.3568
grafo10266.94.gml;1;0.0092;115;7;0.3094
grafo10276.41.gml;1;0.0026;20;6;0.3193
grafo10278.40.gml;1;0.0024;14;2;0.2536
grafo10280.37.gml;1;0.0023;7;2;0.2507
grafo10298.97.gml;1;0.0102;187;11;0.3706
grafo10301.94.gml;1;0.0107;131;8;0.3492
grafo10311.91.gml;1;0.0064;42;3;0.3501
grafo10317.91.gml;1;0.0094;56;5;0.2689
grafo10343.94.gml;1;0.0077;26;3;0.2637
grafo10344.100.gml;1;0.0091;71;5;0.3505
grafo1035.37.gml;1;0.0025;18;4;0.2986
grafo10352.95.gml;1;0.0081;44;5;0.2523
grafo10362.94.gml;1;0.0095;130;11;0.2971
grafo10366.99.gml;1;0.0122;84;6;0.3025
grafo10370.98.gml;1;0.011;97;9;0.3472
grafo10373.94.gml;1;0.0072;50;5;0.2931
grafo10374.97.gml;1;0.0085;81;8;0.3133
grafo10378.100.gml;1;0.0066;26;5;0.2522
grafo10385.94.gml;1;0.0072;135;9;0.3843
grafo10391.94.gml;1;0.0089;73;6;0.3303
grafo10412.94.gml;1;0.0081;68;6;0.2996
grafo10416.96.gml;1;0.0111;129;9;0.3415
grafo10418.100.gml;1;0.0106;116;9;0.3484
grafo10429.100.gml;1;0.0081;70;7;0.3258
grafo10433.97.gml;1;0.0079;91;10;0.354
grafo10435.96.gml;1;0.0078;70;6;0.3586
grafo10442.97.gml;1;0.0074;48;6;0.2532
grafo10464.96.gml;1;0.0097;22;2;0.2506
grafo10473.95.gml;1;0.0085;72;6;0.3236
grafo10474.94.gml;1;0.0107;176;10;0.3295
grafo10475.98.gml;1;0.0083;61;6;0.3461
grafo10478.94.gml;1;0.0111;65;9;0.3309
grafo10480.95.gml;1;0.0075;77;7;0.3348
grafo10484.99.gml;1;0.0092;150;10;0.3032
grafo10486.97.gml;1;0.0082;47;6;0.3167
grafo10490.99.gml;1;0.0085;136;13;0.4025
grafo10498.99.gml;1;0.0102;83;6;0.3468
grafo10502.91.gml;1;0.0097;150;10;0.3477
grafo10506.98.gml;1;0.009;92;9;0.3152
grafo10507.93.gml;1;0.0088;91;6;0.3165
grafo10509.32.gml;1;0.0017;5;3;0.3142
grafo10524.97.gml;1;0.0064;28;3;0.3092
grafo10530.100.gml;1;0.0079;97;8;0.3774
grafo10533.100.gml;1;0.0111;70;6;0.2905
grafo10540.97.gml;1;0.0078;71;6;0.3538
grafo10545.93.gml;1;0.0083;47;5;0.3429
grafo10546.98.gml;1;0.0078;67;5;0.334
grafo10548.94.gml;1;0.0097;138;8;0.354
grafo10554.93.gml;1;0.0061;18;3;0.2646
grafo10559.98.gml;1;0.0074;94;10;0.3541
grafo10563.41.gml;1;0.0019;5;2;0.2208
grafo10567.38.gml;1;0.002;10;3;0.3278
grafo10579.96.gml;1;0.0064;42;5;0.2829
grafo10589.93.gml;1;0.0093;143;9;0.3266
grafo10593.98.gml;1;0.0079;103;8;0.3746
grafo10594.94.gml;1;0.0103;121;7;0.3728
grafo10595.95.gml;1;0.0077;96;6;0.3675
grafo10605.99.gml;1;0.0075;79;10;0.3567
grafo10612.94.gml;1;0.0089;32;4;0.2669
grafo10625.100.gml;1;0.0085;47;5;0.3073
grafo10629.100.gml;1;0.0102;69;6;0.2932
grafo10633.100.gml;1;0.0104;127;9;0.3534
grafo10634.96.gml;1;0.0099;128;8;0.3467
grafo10635.95.gml;1;0.0115;155;10;0.3472
grafo10636.95.gml;1;0.0101;127;7;0.313
grafo10637.94.gml;1;0.0103;203;16;0.3678
grafo10639.91.gml;1;0.0084;87;6;0.3483
grafo10641.99.gml;1;0.0094;64;5;0.2885
grafo10644.100.gml;1;0.0094;122;7;0.2932
grafo10646.100.gml;1;0.0125;216;14;0.3478
grafo10653.100.gml;1;0.0092;126;11;0.3568
grafo10654.96.gml;1;0.009;91;6;0.3329
grafo10657.39.gml;1;0.0026;11;3;0.2633
grafo10659.38.gml;1;0.0028;25;4;0.2629
grafo10670.100.gml;1;0.0092;104;8;0.3244
grafo10672.98.gml;1;0.0081;108;9;0.3608
grafo10676.100.gml;1;0.0099;88;7;0.3472
grafo10681.93.gml;1;0.0098;67;7;0.3314
grafo10682.98.gml;1;0.0101;65;6;0.2946
grafo10688.95.gml;1;0.0096;148;8;0.3582
grafo10690.96.gml;1;0.0079;30;4;0.2845
grafo10692.92.gml;1;0.0084;48;5;0.316
grafo10693.98.gml;1;0.0121;154;9;0.3364
grafo10698.95.gml;1;0.0092;163;11;0.3605
grafo10712.98.gml;1;0.009;116;9;0.343
grafo10723.96.gml;1;0.0051;16;3;0.2769
grafo10724.92.gml;1;0.0107;47;4;0.3005
grafo10736.99.gml;1;0.0103;118;6;0.3791
grafo10737.99.gml;1;0.0099;153;11;0.3488
grafo10738.96.gml;1;0.0079;53;7;0.2933
grafo10740.92.gml;1;0.0092;35;4;0.2536
grafo10748.39.gml;1;0.0028;23;4;0.307
grafo10752.35.gml;1;0.0019;4;1;0.258
grafo10755.41.gml;1;0.0027;25;4;0.3426
grafo10771.92.gml;1;0.0081;141;9;0.3786
