instance;solved;time;GCN;LCN;stress
ba_8866_n144_m3.gml;1;0.4748;7242;110;0.3765
ba_8894_n178_m1.gml;1;0.015;11;3;0.196
ba_8899_n74_m3.gml;1;0.0533;2059;49;0.3518
ba_896_n113_m2.gml;1;0.149;1035;26;0.3392
ba_8970_n84_m2.gml;1;0.0706;484;19;0.3318
ba_8983_n108_m2.gml;1;0.096;704;23;0.3113
ba_899_n74_m3.gml;1;0.0515;1804;48;0.3622
ba_9015_n135_m2.gml;1;0.2641;1541;40;0.3441
ba_9035_n99_m2.gml;1;0.1433;861;29;0.3202
ba_9077_n110_m2.gml;1;0.2255;961;30;0.3436
ba_9079_n88_m3.gml;1;0.1151;2789;55;0.3551
ba_908_n106_m3.gml;1;0.1077;3235;64;0.3646
ba_9103_n183_m1.gml;1;0.0128;16;3;0.2311
ba_9123_n94_m1.gml;1;0.007;3;1;0.2261
ba_9143_n80_m3.gml;1;0.1133;2045;49;0.3639
ba_9161_n142_m3.gml;1;0.2766;7154;97;0.3759
ba_9175_n85_m2.gml;1;0.1063;566;19;0.3232
ba_9177_n58_m2.gml;1;0.0242;223;16;0.3076
ba_9179_n113_m3.gml;1;0.159;3513;58;0.3656
ba_919_n117_m3.gml;1;0.1261;3886;78;0.3716
ba_9222_n146_m1.gml;1;0.0234;29;4;0.2869
ba_928_n98_m2.gml;1;0.0814;983;27;0.3302
ba_9292_n109_m3.gml;1;0.1521;3414;70;0.3686
ba_9296_n50_m3.gml;1;0.0461;700;29;0.3427
ba_9307_n174_m1.gml;1;0.0217;12;2;0.2247
ba_9313_n140_m2.gml;1;0.3025;1925;42;0.3326
ba_9326_n56_m2.gml;1;0.0359;229;15;0.3262
ba_937_n68_m3.gml;1;0.0662;1158;40;0.3608
ba_9413_n58_m3.gml;1;0.04;871;34;0.3527
ba_9437_n190_m1.gml;1;0.0223;50;6;0.2196
ba_9482_n117_m3.gml;1;0.2595;5648;87;0.3651
ba_9483_n52_m2.gml;1;0.0238;233;16;0.3133
ba_9523_n199_m1.gml;1;0.031;66;6;0.2726
ba_953_n140_m3.gml;1;0.3069;4790;81;0.3607
ba_95_n183_m1.gml;1;0.0133;17;5;0.2701
ba_963_n109_m2.gml;1;0.131;829;25;0.3224
ba_9650_n139_m2.gml;1;0.216;1558;41;0.3519
ba_9656_n116_m3.gml;1;0.2131;4076;76;0.3724
ba_9711_n130_m3.gml;1;0.2944;5062;72;0.3693
ba_9717_n181_m1.gml;1;0.0185;74;8;0.2989
ba_9766_n92_m3.gml;1;0.1502;3123;63;0.3726
ba_9777_n149_m2.gml;1;0.1891;1457;33;0.3481
ba_9796_n137_m3.gml;1;0.2836;7135;103;0.3684
ba_9820_n163_m1.gml;1;0.0159;10;3;0.1846
ba_9827_n169_m1.gml;1;0.0212;28;5;0.2364
ba_9844_n58_m2.gml;1;0.044;248;15;0.33
ba_9870_n73_m2.gml;1;0.0818;448;21;0.333
ba_9930_n72_m2.gml;1;0.052;405;16;0.3165
ba_994_n72_m2.gml;1;0.0602;549;31;0.321
ba_9978_n123_m2.gml;1;0.1289;1523;40;0.3421
ba_5352_n66_m3.gml;1;0.0455;1332;41;0.3531
ba_5358_n74_m2.gml;1;0.0597;404;19;0.3181
ba_5359_n114_m2.gml;1;0.1389;1025;29;0.3362
ba_5363_n50_m3.gml;1;0.0218;581;23;0.3409
ba_5380_n53_m3.gml;1;0.0232;634;22;0.3302
ba_5388_n143_m3.gml;1;0.4749;7734;116;0.3731
ba_5395_n122_m3.gml;1;0.1879;6353;103;0.3607
ba_5427_n94_m2.gml;1;0.1052;695;21;0.3377
ba_542_n76_m2.gml;1;0.0804;574;24;0.3528
ba_5430_n50_m2.gml;1;0.0315;228;15;0.3111
ba_5434_n93_m3.gml;1;0.1293;2518;55;0.3682
ba_5461_n134_m2.gml;1;0.3833;1516;39;0.3462
ba_5490_n91_m3.gml;1;0.1211;2856;58;0.3688
ba_5497_n61_m3.gml;1;0.0465;1006;31;0.3508
ba_5528_n129_m2.gml;1;0.1596;1364;38;0.341
ba_5534_n65_m3.gml;1;0.0508;1021;32;0.355
ba_5580_n75_m3.gml;1;0.1043;2249;56;0.3606
ba_5583_n67_m2.gml;1;0.0521;419;17;0.3277
ba_5589_n55_m2.gml;1;0.0281;241;11;0.3092
ba_5608_n86_m3.gml;1;0.1306;2272;50;0.3666
ba_5625_n75_m2.gml;1;0.0799;520;20;0.3268
ba_5627_n110_m3.gml;1;0.1743;4397;80;0.3595
ba_5689_n82_m2.gml;1;0.0505;439;22;0.3119
ba_5698_n77_m2.gml;1;0.0899;550;23;0.3527
ba_5707_n95_m3.gml;1;0.1155;2889;66;0.3625
ba_5713_n118_m2.gml;1;0.1562;1035;30;0.3421
ba_5715_n145_m2.gml;1;0.2732;1971;48;0.3538
ba_5733_n64_m2.gml;1;0.0396;267;16;0.3068
ba_5735_n136_m3.gml;1;0.3372;6369;91;0.3664
ba_5761_n138_m3.gml;1;0.3114;5414;80;0.3698
ba_5774_n75_m3.gml;1;0.0569;1772;53;0.3538
ba_5822_n148_m3.gml;1;0.2027;5687;80;0.3593
ba_5824_n94_m2.gml;1;0.0709;760;24;0.3282
ba_5830_n110_m2.gml;1;0.2073;979;26;0.3399
