instance;solved;time;GCN;LCN;stress
ba_5352_n66_m3.gml;1;0.0455;1332;41;0.3531
ba_5358_n74_m2.gml;1;0.0597;404;19;0.3181
ba_5359_n114_m2.gml;1;0.1389;1025;29;0.3362
ba_5363_n50_m3.gml;1;0.0218;581;23;0.3409
ba_5380_n53_m3.gml;1;0.0232;634;22;0.3302
ba_5388_n143_m3.gml;1;0.4749;7734;116;0.3731
ba_5395_n122_m3.gml;1;0.1879;6353;103;0.3607
ba_5427_n94_m2.gml;1;0.1052;695;21;0.3377
ba_542_n76_m2.gml;1;0.0804;574;24;0.3528
ba_5430_n50_m2.gml;1;0.0315;228;15;0.3111
ba_5434_n93_m3.gml;1;0.1293;2518;55;0.3682
ba_5461_n134_m2.gml;1;0.3833;1516;39;0.3462
ba_5490_n91_m3.gml;1;0.1211;2856;58;0.3688
ba_5497_n61_m3.gml;1;0.0465;1006;31;0.3508
ba_5528_n129_m2.gml;1;0.1596;1364;38;0.341
ba_5534_n65_m3.gml;1;0.0508;1021;32;0.355
ba_5580_n75_m3.gml;1;0.1043;2249;56;0.3606
ba_5583_n67_m2.gml;1;0.0521;419;17;0.3277
ba_5589_n55_m2.gml;1;0.0281;241;11;0.3092
ba_5608_n86_m3.gml;1;0.1306;2272;50;0.3666
ba_5625_n75_m2.gml;1;0.0799;520;20;0.3268
ba_5627_n110_m3.gml;1;0.1743;4397;80;0.3595
ba_5689_n82_m2.gml;1;0.0505;439;22;0.3119
ba_5698_n77_m2.gml;1;0.0899;550;23;0.3527
ba_5707_n95_m3.gml;1;0.1155;2889;66;0.3625
ba_5713_n118_m2.gml;1;0.1562;1035;30;0.3421
ba_5715_n145_m2.gml;1;0.2732;1971;48;0.3538
ba_5733_n64_m2.gml;1;0.0396;267;16;0.3068
ba_5735_n136_m3.gml;1;0.3372;6369;91;0.3664
ba_5761_n138_m3.gml;1;0.3114;5414;80;0.3698
ba_5774_n75_m3.gml;1;0.0569;1772;53;0.3538
ba_5822_n148_m3.gml;1;0.2027;5687;80;0.3593
ba_5824_n94_m2.gml;1;0.0709;760;24;0.3282
ba_5830_n110_m2.gml;1;0.2073;979;26;0.3399
ba_5838_n89_m3.gml;1;0.0865;2308;59;0.3587
ba_5849_n129_m3.gml;1;0.4824;5520;88;0.3608
ba_5892_n140_m3.gml;1;0.4001;5716;84;0.3687
ba_5917_n63_m3.gml;1;0.0372;1007;36;0.3502
ba_5943_n178_m1.gml;1;0.02;29;4;0.2503
ba_5957_n88_m2.gml;1;0.0804;632;22;0.3296
ba_5960_n119_m2.gml;1;0.1237;957;25;0.3322
ba_5966_n142_m3.gml;1;0.2845;7916;107;0.3737
ba_598_n121_m2.gml;1;0.1389;1166;28;0.3379
ba_5990_n130_m3.gml;1;0.2007;6504;120;0.3639
ba_6010_n105_m2.gml;1;0.0989;1201;37;0.331
ba_6039_n94_m2.gml;1;0.1416;613;24;0.3308
ba_6045_n119_m2.gml;1;0.1486;1272;33;0.3367
ba_6077_n129_m2.gml;1;0.2376;1624;38;0.3309
ba_6092_n98_m3.gml;1;0.0802;2638;58;0.368
ba_6127_n121_m3.gml;1;0.1912;4102;66;0.3719
