instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;0.0094;11;3;0.2365
grafo10008.42.gml;1;0.012;21;3;0.2692
grafo10020.38.gml;1;0.0082;16;3;0.2902
grafo10027.38.gml;1;0.0118;10;3;0.2467
grafo10030.38.gml;1;0.009;13;3;0.204
grafo10054.40.gml;1;0.0112;10;2;0.2507
grafo10058.32.gml;1;0.0055;5;2;0.2096
grafo10078.40.gml;1;0.0087;9;2;0.1985
grafo10087.39.gml;1;0.012;10;2;0.216
grafo10089.37.gml;1;0.0137;13;3;0.2284
grafo10100.99.gml;1;0.0578;86;7;0.277
grafo10103.98.gml;1;0.0479;69;5;0.2823
grafo10107.93.gml;1;0.0263;83;5;0.2198
grafo10118.97.gml;1;0.0375;70;9;0.2958
grafo10125.99.gml;1;0.0198;19;3;0.2175
grafo10128.98.gml;1;0.0639;75;5;0.241
grafo10130.97.gml;1;0.0379;106;11;0.3126
grafo10140.40.gml;1;0.0073;8;3;0.2413
grafo10144.98.gml;1;0.0358;59;4;0.2382
grafo10149.95.gml;1;0.0356;92;5;0.2727
grafo10154.94.gml;1;0.0329;94;5;0.2706
grafo10170.96.gml;1;0.0598;73;5;0.2823
grafo10193.38.gml;1;0.0107;4;1;0.199
grafo10194.97.gml;1;0.0315;71;5;0.2648
grafo10195.99.gml;1;0.0673;112;8;0.2829
grafo10201.93.gml;1;0.0237;60;4;0.2998
grafo10204.100.gml;1;0.0416;156;10;0.3058
grafo10207.98.gml;1;0.0703;127;9;0.3345
grafo10214.94.gml;1;0.0344;58;6;0.2623
grafo10228.95.gml;1;0.0468;89;7;0.2897
grafo10240.97.gml;1;0.0496;79;7;0.2676
grafo10243.95.gml;1;0.0375;84;6;0.2917
grafo10250.100.gml;1;0.0416;98;8;0.2776
grafo10252.96.gml;1;0.0304;78;6;0.2659
grafo10260.98.gml;1;0.0267;61;6;0.2587
grafo10262.100.gml;1;0.0334;86;6;0.289
grafo10266.94.gml;1;0.0309;102;7;0.2781
grafo10276.41.gml;1;0.0113;11;3;0.2146
grafo10278.40.gml;1;0.0099;14;2;0.2474
grafo10280.37.gml;1;0.0067;7;2;0.2227
grafo10298.97.gml;1;0.0353;129;10;0.283
grafo10301.94.gml;1;0.0274;101;7;0.2793
grafo10311.91.gml;1;0.0188;22;3;0.2399
grafo10317.91.gml;1;0.0369;60;4;0.2263
