instance;solved;time;GCN;LCN;stress
ba_02_n121_m3.gml;1;85.7157;4665;80;0.4068
ba_03_n94_m3.gml;1;54.3233;2156;46;0.3826
ba_1002_n86_m3.gml;1;51.9624;1698;43;0.4097
ba_1009_n130_m3.gml;1;75.8614;4240;67;0.3794
ba_1019_n84_m2.gml;1;35.9967;437;22;0.395
ba_1023_n128_m3.gml;1;74.6584;4436;84;0.3769
ba_1026_n118_m3.gml;1;65.8836;3578;63;0.3715
ba_1028_n139_m3.gml;1;79.5228;4716;79;0.3815
ba_1035_n198_m1.gml;1;19.9016;4;1;0.2657
ba_1049_n53_m3.gml;1;46.3303;623;26;0.4078
ba_1050_n89_m3.gml;1;55.3681;2050;46;0.394
ba_1051_n130_m2.gml;1;44.6571;1376;36;0.3542
ba_1066_n140_m2.gml;1;43.0763;1392;30;0.3566
ba_1073_n100_m2.gml;1;34.2126;456;14;0.3369
ba_1078_n129_m2.gml;1;44.9426;1201;32;0.3555
ba_1089_n90_m3.gml;1;67.174;2695;57;0.3813
ba_1095_n68_m2.gml;1;35.1743;297;16;0.4107
ba_1096_n94_m2.gml;1;37.7202;518;25;0.3433
ba_10_n113_m2.gml;1;42.5659;1050;30;0.3488
ba_1106_n64_m2.gml;1;27.3015;204;14;0.3515
ba_1109_n184_m1.gml;1;21.457;1;1;0.4094
ba_1115_n129_m1.gml;1;20.0511;8;2;0.3399
ba_1117_n71_m2.gml;1;30.6878;268;13;0.3661
ba_1120_n77_m3.gml;1;53.0534;1390;40;0.4148
ba_1121_n66_m3.gml;1;46.3284;915;31;0.3727
ba_1122_n139_m2.gml;1;53.6149;1706;48;0.3583
ba_1124_n101_m2.gml;1;36.8188;534;21;0.3559
ba_1128_n142_m3.gml;1;113.3081;8022;108;0.3795
ba_1131_n126_m2.gml;1;40.1426;947;24;0.3596
ba_1132_n118_m3.gml;1;66.5002;3399;55;0.365
ba_113_n149_m3.gml;1;75.1404;5523;97;0.3759
ba_1141_n90_m2.gml;1;31.586;514;25;0.353
ba_1144_n90_m1.gml;1;21.8995;1;1;0.6787
ba_114_n125_m3.gml;1;59.7825;3584;83;0.3753
ba_1165_n146_m2.gml;1;58.9073;1876;41;0.3551
ba_1166_n133_m3.gml;1;91.0157;5702;82;0.3841
ba_1172_n146_m2.gml;1;45.5669;1498;34;0.356
ba_1185_n151_m2.gml;1;46.6061;1504;32;0.3645
ba_1211_n90_m2.gml;1;44.3963;880;27;0.376
ba_1216_n148_m3.gml;1;84.9765;5583;88;0.3937
ba_1217_n141_m3.gml;1;80.3262;5445;82;0.3821
ba_1230_n129_m1.gml;1;20.2722;6;2;0.3614
ba_1234_n138_m2.gml;1;53.1581;1930;48;0.3538
ba_123_n89_m3.gml;1;66.243;2301;61;0.3887
ba_1242_n75_m3.gml;1;67.8075;2036;50;0.4068
ba_1247_n119_m2.gml;1;39.344;827;27;0.3451
ba_1252_n62_m2.gml;1;39.4242;409;19;0.375
ba_1258_n61_m2.gml;1;37.2719;282;24;0.4306
ba_125_n128_m3.gml;1;80.9775;3890;64;0.4025
ba_1262_n195_m1.gml;1;24.4725;20;5;0.3134
ba_1265_n105_m1.gml;1;18.9295;5;1;0.3555
ba_1274_n127_m2.gml;1;42.2946;1063;33;0.3561
ba_1281_n124_m3.gml;1;83.7741;4371;73;0.4104
ba_1282_n84_m3.gml;1;65.7482;2160;46;0.3972
ba_1292_n57_m2.gml;1;35.3602;249;18;0.4164
ba_1303_n77_m3.gml;1;57.7049;1606;37;0.3918
ba_1309_n133_m3.gml;1;74.1999;4525;69;0.386
ba_1314_n141_m3.gml;1;92.2887;6272;79;0.3709
ba_1324_n105_m2.gml;1;36.6197;618;23;0.3544
ba_1326_n140_m2.gml;1;50.0997;1715;38;0.3682
ba_1327_n97_m2.gml;1;39.6925;638;26;0.3547
ba_1328_n84_m2.gml;1;38.1012;465;21;0.3957
ba_1331_n105_m3.gml;1;74.9942;3395;70;0.4025
ba_1332_n94_m2.gml;1;46.4156;709;23;0.3534
ba_1338_n110_m3.gml;1;60.4031;2653;55;0.3684
ba_133_n134_m2.gml;1;43.28;1286;34;0.3621
ba_1341_n180_m1.gml;1;27.6107;24;4;0.4558
ba_1344_n149_m2.gml;1;46.1337;1474;36;0.361
ba_134_n63_m2.gml;1;32.1517;239;22;0.3615
