instance;solved;time;GCN;LCN;stress
ba_3638_n122_m2.gml;1;8.567;1339;31;0.3626
ba_3640_n97_m3.gml;1;11.6378;2712;55;0.4607
ba_3648_n79_m2.gml;1;5.8906;416;22;0.4782
ba_3651_n106_m3.gml;1;11.8781;3077;64;0.4591
ba_366_n91_m2.gml;1;5.8913;542;21;0.537
ba_3680_n150_m1.gml;1;1.6581;1;1;0.4644
ba_368_n69_m2.gml;1;6.6205;476;24;0.4626
ba_369_n121_m3.gml;1;12.7346;4106;70;0.4815
ba_3723_n126_m3.gml;1;12.1281;3786;73;0.5206
ba_3727_n112_m3.gml;1;13.35;4299;70;0.5057
ba_3752_n88_m2.gml;1;7.136;753;27;0.5169
ba_3758_n57_m3.gml;1;7.2037;717;34;0.5368
ba_3779_n51_m3.gml;1;7.4924;658;35;0.4318
ba_379_n72_m3.gml;1;9.9693;1891;49;0.514
ba_3804_n103_m3.gml;1;10.7372;2726;61;0.5154
ba_3863_n138_m1.gml;1;2.9033;5;3;0.4585
ba_3869_n67_m3.gml;1;7.6067;1176;42;0.5797
ba_3882_n77_m3.gml;1;7.5687;1427;39;0.5924
ba_3893_n92_m2.gml;1;5.026;512;21;0.4252
ba_3915_n112_m2.gml;1;5.9047;1018;37;0.4385
ba_3919_n146_m3.gml;1;11.1071;5522;80;0.4565
ba_3925_n103_m2.gml;1;5.7713;755;22;0.3905
ba_3926_n70_m2.gml;1;5.1474;385;23;0.4748
ba_394_n102_m1.gml;1;0.2111;3;1;0.2773
ba_3990_n95_m3.gml;1;8.0867;2335;57;0.4649
