instance;solved;time;GCN;LCN;stress
grafo5036.62.gml;1;3.8447;26;4;0.3535
grafo5040.53.gml;1;2.741;24;3;0.2687
grafo5048.61.gml;1;2.6033;8;2;0.3117
grafo5051.80.gml;1;3.1887;79;7;0.3443
grafo5053.60.gml;1;4.044;42;7;0.4217
grafo5055.56.gml;1;2.7294;16;4;0.4195
grafo506.43.gml;1;0.5412;2;1;0.2716
grafo5076.78.gml;1;3.9225;43;5;0.3502
grafo5077.56.gml;1;4.6271;30;6;0.2987
grafo5079.64.gml;1;4.6772;19;3;0.3046
grafo5080.79.gml;1;3.6952;32;5;0.3092
grafo5082.60.gml;1;4.3232;24;3;0.3601
grafo5085.81.gml;1;3.855;64;6;0.3121
grafo5087.77.gml;1;3.961;28;5;0.3005
grafo5095.62.gml;1;4.3635;39;5;0.3457
grafo5098.58.gml;1;4.6215;27;4;0.3477
grafo5104.57.gml;1;4.5754;15;3;0.3522
grafo5109.83.gml;1;4.0329;61;7;0.277
grafo5115.65.gml;1;3.9546;48;6;0.3745
grafo5116.74.gml;1;4.1572;25;3;0.2734
grafo5119.76.gml;1;4.005;75;8;0.3651
grafo5120.60.gml;1;3.2411;12;2;0.3485
grafo5122.39.gml;1;0.8182;3;1;0.3489
grafo5124.36.gml;1;0.0673;1;1;0.1735
grafo5126.43.gml;1;0.2707;2;1;0.1903
grafo5142.36.gml;1;0.7424;2;1;0.3784
grafo5147.67.gml;1;4.7946;27;3;0.2356
grafo5150.52.gml;1;3.354;15;5;0.2828
grafo5154.39.gml;1;3.2409;17;3;0.4006
grafo5157.39.gml;1;3.0836;9;5;0.4159
grafo5166.42.gml;1;0.5186;4;1;0.2748
grafo5170.59.gml;1;3.3558;14;6;0.3933
grafo5171.77.gml;1;0.1938;6;1;0.1679
grafo5178.42.gml;1;3.2722;26;5;0.3963
grafo5186.55.gml;1;4.9084;31;5;0.4094
grafo5188.70.gml;1;3.8834;21;5;0.2488
grafo5196.73.gml;1;4.7516;13;3;0.3677
grafo5207.43.gml;1;3.5157;31;5;0.2962
grafo5235.32.gml;1;0.2031;2;1;0.1525
grafo5241.42.gml;1;2.8849;5;1;0.3551
grafo5249.56.gml;1;4.8233;63;6;0.3175
grafo5255.47.gml;1;3.1768;17;3;0.3784
grafo5257.38.gml;1;0.2592;2;1;0.1751
grafo5263.75.gml;1;4.1098;41;5;0.3196
grafo5265.40.gml;1;3.1046;7;3;0.3837
grafo5267.43.gml;1;1.5081;5;1;0.2844
grafo5268.43.gml;1;0.1371;3;1;0.1954
grafo5277.44.gml;1;3.2936;14;4;0.3193
grafo5279.78.gml;1;4.0461;72;6;0.281
grafo5282.58.gml;1;3.421;24;4;0.3202
grafo5287.61.gml;1;4.4638;42;10;0.3764
grafo5301.37.gml;1;0.0406;5;1;0.2036
grafo5305.63.gml;1;4.2061;31;3;0.3182
grafo5307.39.gml;1;2.9517;13;5;0.3828
grafo5311.54.gml;1;3.177;14;3;0.3138
grafo5322.67.gml;1;4.0682;26;4;0.2857
grafo5323.44.gml;1;0.8304;2;1;0.4142
grafo5324.62.gml;1;0.6049;6;1;0.1741
grafo5327.40.gml;1;0.064;4;1;0.2231
grafo5332.61.gml;1;4.4405;41;5;0.3908
grafo5333.43.gml;1;0.2096;4;1;0.1968
grafo5340.34.gml;1;1.9401;4;1;0.391
grafo5358.47.gml;1;4.9761;48;5;0.3409
grafo5361.76.gml;1;3.7196;55;6;0.2937
grafo5366.51.gml;1;3.0956;22;4;0.4154
grafo5374.35.gml;1;0.0365;3;1;0.1882
grafo5375.71.gml;1;3.7602;32;4;0.2849
grafo5389.58.gml;1;3.5769;33;6;0.4044
grafo5395.33.gml;1;2.7664;12;3;0.4126
grafo5403.58.gml;1;2.9447;19;5;0.2911
grafo5404.44.gml;1;2.2916;3;1;0.3812
grafo5410.36.gml;1;1.0882;2;1;0.388
grafo5423.76.gml;1;3.9411;40;7;0.3112
grafo5425.56.gml;1;4.345;34;4;0.2825
grafo5436.42.gml;1;2.7063;14;4;0.4721
grafo5440.44.gml;1;2.5882;10;4;0.3442
grafo5446.40.gml;1;1.1144;5;1;0.4412
grafo5467.43.gml;1;4.4237;52;6;0.3908
grafo5473.46.gml;1;2.6703;19;5;0.2839
grafo5478.32.gml;1;0.5729;1;1;0.221
grafo5491.74.gml;1;3.1998;29;4;0.312
grafo5496.44.gml;1;1.7275;6;1;0.3771
grafo5497.77.gml;1;3.8252;24;4;0.3034
grafo5499.38.gml;1;0.1054;4;1;0.1663
grafo5502.37.gml;1;0.2312;7;1;0.2337
grafo5507.46.gml;1;2.504;18;5;0.3648
grafo5513.71.gml;1;3.6158;21;4;0.3081
grafo5514.39.gml;1;0.0351;2;1;0.2004
grafo5533.47.gml;1;2.5062;16;4;0.2997
grafo5537.43.gml;1;1.8087;4;1;0.4144
grafo5566.43.gml;1;2.4846;26;6;0.3288
grafo5572.82.gml;1;3.1765;81;6;0.3191
grafo5582.38.gml;1;2.6926;17;3;0.4265
grafo5595.42.gml;1;0.5941;2;1;0.2595
grafo5603.38.gml;1;3.0777;9;3;0.2876
grafo5607.38.gml;1;3.088;15;5;0.2202
grafo5613.35.gml;1;0.0675;5;1;0.1828
grafo5619.39.gml;1;2.9746;12;3;0.3405
grafo563.19.gml;1;2.798;2;2;0.4242
grafo5647.78.gml;1;4.757;24;4;0.2425
grafo5652.40.gml;1;2.9494;7;3;0.346
grafo5659.46.gml;1;0.2839;5;1;0.2265
grafo5661.48.gml;1;0.2592;1;1;0.2518
grafo5683.39.gml;1;3.1796;8;2;0.2197
grafo5694.45.gml;1;3.1425;15;3;0.37
grafo5709.59.gml;1;3.1583;11;3;0.3533
grafo5723.43.gml;1;3.09;14;5;0.3831
grafo5725.76.gml;1;4.4071;20;5;0.4103
grafo5735.77.gml;1;4.1819;33;5;0.37
grafo574.12.gml;1;0.0471;2;1;0.2077
grafo5740.61.gml;1;4.2626;55;6;0.3307
grafo5741.42.gml;1;3.2162;15;3;0.383
grafo5742.39.gml;1;3.2445;27;6;0.3394
grafo5757.69.gml;1;4.2482;57;8;0.3206
grafo5758.60.gml;1;4.9611;40;6;0.3111
grafo5766.46.gml;1;5.2548;32;5;0.4184
grafo5775.45.gml;1;3.2807;17;3;0.383
grafo5777.38.gml;1;3.0666;4;1;0.3608
grafo5794.54.gml;1;3.2788;11;2;0.3511
grafo5797.47.gml;1;2.7333;4;1;0.4109
grafo5798.39.gml;1;3.1874;7;3;0.4294
grafo5807.32.gml;1;0.1781;6;1;0.2086
grafo5813.37.gml;1;3.0551;6;3;0.3007
grafo5819.38.gml;1;0.2894;2;1;0.3093
grafo5821.33.gml;1;0.1907;3;1;0.1777
grafo5822.36.gml;1;0.4688;2;1;0.2109
grafo5824.77.gml;1;4.3232;13;3;0.2835
grafo5831.61.gml;1;1.14;3;1;0.3265
grafo5835.44.gml;1;0.0759;3;1;0.1924
grafo5836.78.gml;1;3.8487;14;2;0.3225
grafo5840.41.gml;1;3.215;14;3;0.4075
grafo5841.76.gml;1;3.999;34;4;0.3279
grafo5844.39.gml;1;0.5636;3;1;0.345
grafo5849.57.gml;1;4.5407;32;4;0.388
grafo5853.57.gml;1;4.8176;28;5;0.3408
grafo5863.74.gml;1;4.1523;55;5;0.3322
grafo5867.42.gml;1;0.3228;5;1;0.2042
grafo5868.43.gml;1;0.1509;3;1;0.1988
grafo5874.76.gml;1;3.9531;38;3;0.2712
grafo5876.40.gml;1;0.2261;5;1;0.2213
