instance;solved;time;GCN;LCN;stress
ba_5434_n93_m3.gml;1;11.9092;2519;56;0.3698
ba_5461_n134_m2.gml;1;9.3982;1535;37;0.348
ba_5490_n91_m3.gml;1;12.3171;2903;58;0.3702
ba_5497_n61_m3.gml;1;8.5893;1017;32;0.3548
ba_5528_n129_m2.gml;1;9.0118;1348;37;0.3432
ba_5534_n65_m3.gml;1;8.7344;1031;33;0.3572
ba_5580_n75_m3.gml;1;12.718;2285;57;0.3644
ba_5583_n67_m2.gml;1;6.8783;431;17;0.3348
ba_5589_n55_m2.gml;1;5.6278;203;11;0.3638
ba_5608_n86_m3.gml;1;11.3287;2306;53;0.3697
ba_5625_n75_m2.gml;1;6.671;526;21;0.3349
ba_5627_n110_m3.gml;1;15.7052;4446;80;0.3612
ba_5689_n82_m2.gml;1;6.0403;405;21;0.3322
ba_5698_n77_m2.gml;1;6.5136;578;25;0.359
ba_5707_n95_m3.gml;1;11.892;2929;66;0.3641
ba_5713_n118_m2.gml;1;7.224;1070;30;0.346
ba_5715_n145_m2.gml;1;7.9791;1981;45;0.3583
ba_5733_n64_m2.gml;1;4.3046;246;13;0.3451
ba_5735_n136_m3.gml;1;13.2188;6393;86;0.3671
ba_5761_n138_m3.gml;1;10.7093;5391;74;0.3708
