instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;1.6448;5;1;0.3924
grafo10008.42.gml;1;2.6751;47;6;0.4288
grafo10020.38.gml;1;2.5196;32;5;0.432
grafo10027.38.gml;1;2.4811;17;4;0.3481
grafo10030.38.gml;1;2.6061;25;5;0.2808
grafo10054.40.gml;1;2.4383;15;2;0.3223
grafo10058.32.gml;1;2.3113;12;4;0.3256
grafo10078.40.gml;1;2.4564;29;7;0.2966
grafo10087.39.gml;1;2.4913;30;8;0.3652
grafo10089.37.gml;1;2.474;25;8;0.3359
grafo10100.99.gml;1;3.3669;109;7;0.309
grafo10103.98.gml;1;3.3252;90;6;0.3448
grafo10107.93.gml;1;3.377;102;6;0.2725
grafo10118.97.gml;1;3.2907;102;8;0.3468
grafo10125.99.gml;1;3.1861;34;3;0.2697
grafo10128.98.gml;1;3.4471;79;5;0.2643
grafo10130.97.gml;1;3.3082;130;8;0.3405
grafo10140.40.gml;1;0.2108;4;1;0.2583
grafo10144.98.gml;1;3.2527;76;4;0.3043
grafo10149.95.gml;1;3.3559;110;7;0.2949
grafo10154.94.gml;1;3.3263;113;6;0.3171
grafo10170.96.gml;1;3.4268;96;6;0.3573
grafo10193.38.gml;1;0.0557;4;1;0.199
grafo10194.97.gml;1;3.2413;89;5;0.3355
grafo10195.99.gml;1;3.5921;122;10;0.3153
grafo10201.93.gml;1;3.1741;94;8;0.3629
grafo10204.100.gml;1;4.2778;172;8;0.3221
grafo10207.98.gml;1;3.45;122;8;0.36
grafo10214.94.gml;1;3.3178;58;6;0.2623
grafo10228.95.gml;1;3.3567;89;6;0.3308
grafo10240.97.gml;1;3.5805;103;7;0.2912
grafo10243.95.gml;1;3.332;100;8;0.3373
grafo10250.100.gml;1;3.5473;103;6;0.3321
grafo10252.96.gml;1;3.3178;95;5;0.2942
grafo10260.98.gml;1;3.3666;91;7;0.3239
grafo10262.100.gml;1;3.2779;109;8;0.333
grafo10266.94.gml;1;3.4556;136;9;0.3397
grafo10276.41.gml;1;2.6015;18;4;0.2859
grafo10278.40.gml;1;2.5335;41;7;0.4333
grafo10280.37.gml;1;2.4129;21;4;0.3617
grafo10298.97.gml;1;3.6759;147;9;0.3196
grafo10301.94.gml;1;3.4927;127;6;0.3282
grafo10311.91.gml;1;3.1812;48;6;0.2979
grafo10317.91.gml;1;3.2693;84;6;0.2621
grafo10343.94.gml;1;3.3074;68;7;0.3091
grafo10344.100.gml;1;3.1595;79;7;0.3214
grafo1035.37.gml;1;2.6937;30;6;0.3929
grafo10352.95.gml;1;3.1265;69;6;0.2903
grafo10362.94.gml;1;3.456;111;6;0.2949
grafo10366.99.gml;1;3.4013;91;5;0.3269
grafo10370.98.gml;1;3.2762;77;5;0.3528
grafo10373.94.gml;1;3.3399;55;4;0.3765
grafo10374.97.gml;1;3.2795;70;5;0.3576
grafo10378.100.gml;1;3.0932;45;5;0.3088
grafo10385.94.gml;1;3.1661;97;7;0.3639
grafo10391.94.gml;1;3.2783;105;9;0.3038
grafo10412.94.gml;1;3.2617;66;5;0.3079
grafo10416.96.gml;1;3.5723;112;7;0.3012
grafo10418.100.gml;1;3.4601;126;7;0.3173
grafo10429.100.gml;1;3.2469;81;6;0.4119
grafo10433.97.gml;1;3.264;76;7;0.3133
grafo10435.96.gml;1;3.1361;50;4;0.2877
grafo10442.97.gml;1;3.2893;64;5;0.2975
grafo10464.96.gml;1;3.2267;65;9;0.249
grafo10473.95.gml;1;3.1481;96;6;0.3563
grafo10474.94.gml;1;4.4128;183;10;0.3284
grafo10475.98.gml;1;3.2916;74;7;0.3366
grafo10478.94.gml;1;3.2127;62;6;0.3008
grafo10480.95.gml;1;3.3061;89;8;0.327
grafo10484.99.gml;1;3.6788;182;12;0.3282
grafo10486.97.gml;1;3.1382;75;6;0.3602
grafo10490.99.gml;1;3.173;74;5;0.3507
grafo10498.99.gml;1;3.1851;78;5;0.3467
grafo10502.91.gml;1;3.3696;148;7;0.3219
