instance;solved;time;GCN;LCN;stress
ba_4833_n71_m1.gml;1;0.3051;3;1;0.2329
ba_4888_n96_m2.gml;1;4.3466;869;25;0.3486
ba_4894_n52_m2.gml;1;2.8365;145;10;0.3562
ba_4986_n93_m2.gml;1;3.7051;529;16;0.333
ba_5043_n112_m1.gml;1;0.3287;9;1;0.2255
ba_5060_n198_m1.gml;1;0.055;4;1;0.2017
ba_508_n81_m3.gml;1;8.1556;1749;42;0.3481
ba_5091_n54_m3.gml;1;5.7411;829;27;0.3552
ba_5098_n78_m3.gml;1;7.4467;1844;50;0.3597
ba_5149_n93_m2.gml;1;4.7962;715;21;0.3552
ba_514_n51_m3.gml;1;5.6887;675;26;0.3393
ba_5151_n153_m2.gml;1;6.509;2572;43;0.3586
ba_5154_n70_m3.gml;1;6.97;1340;39;0.3686
ba_5193_n121_m3.gml;1;10.3314;4497;70;0.3692
ba_5213_n101_m3.gml;1;8.6002;2574;53;0.3572
ba_5226_n94_m2.gml;1;5.7441;722;23;0.3385
ba_5232_n51_m3.gml;1;6.3707;802;30;0.3611
ba_5276_n95_m2.gml;1;5.7466;780;21;0.3354
ba_5280_n130_m2.gml;1;6.2449;1573;35;0.3553
ba_5299_n132_m1.gml;1;1.6432;9;1;0.3341
ba_5306_n100_m2.gml;1;4.5253;834;24;0.3288
ba_5313_n119_m1.gml;1;0.2589;7;1;0.2211
ba_5314_n155_m1.gml;1;0.6651;6;1;0.2552
ba_5322_n53_m2.gml;1;3.8863;136;11;0.3047
ba_5336_n134_m1.gml;1;2.9881;21;3;0.233
ba_5352_n66_m3.gml;1;5.7727;1323;39;0.3604
ba_5358_n74_m2.gml;1;3.612;336;15;0.3394
ba_5359_n114_m2.gml;1;4.5371;991;27;0.3386
ba_5363_n50_m3.gml;1;4.8393;584;22;0.3459
ba_5380_n53_m3.gml;1;5.4059;571;22;0.3392
ba_5388_n143_m3.gml;1;12.5815;7618;113;0.3827
ba_5395_n122_m3.gml;1;12.3135;6255;99;0.3925
ba_5427_n94_m2.gml;1;4.9628;656;19;0.3428
ba_542_n76_m2.gml;1;4.9148;572;22;0.3553
ba_5430_n50_m2.gml;1;4.3885;201;12;0.332
ba_5434_n93_m3.gml;1;8.3897;2565;49;0.3739
ba_5461_n134_m2.gml;1;5.8048;1499;31;0.3493
ba_5490_n91_m3.gml;1;8.7658;2844;55;0.3704
ba_5497_n61_m3.gml;1;6.5146;979;31;0.3566
ba_5528_n129_m2.gml;1;6.1841;1340;36;0.3424
ba_5534_n65_m3.gml;1;6.084;1010;31;0.3598
ba_5580_n75_m3.gml;1;9.7559;2250;54;0.3634
ba_5583_n67_m2.gml;1;5.6548;402;15;0.3301
ba_5589_n55_m2.gml;1;4.4955;220;12;0.3205
ba_5608_n86_m3.gml;1;8.008;2261;51;0.3705
ba_5625_n75_m2.gml;1;4.6534;496;18;0.3373
ba_5627_n110_m3.gml;1;10.9619;4407;85;0.3607
ba_5689_n82_m2.gml;1;3.9047;417;17;0.317
ba_5698_n77_m2.gml;1;5.1222;553;21;0.3542
ba_5707_n95_m3.gml;1;7.434;2880;64;0.3648
ba_5713_n118_m2.gml;1;4.4844;1032;28;0.3447
ba_5715_n145_m2.gml;1;5.1923;1976;46;0.355
ba_5733_n64_m2.gml;1;3.559;262;13;0.3123
ba_5735_n136_m3.gml;1;11.0084;6373;83;0.3672
ba_5761_n138_m3.gml;1;10.2985;5428;79;0.3708
ba_5774_n75_m3.gml;1;7.5392;1749;44;0.3585
ba_5822_n148_m3.gml;1;10.2317;5679;79;0.3598
ba_5824_n94_m2.gml;1;5.2417;747;22;0.3348
ba_5830_n110_m2.gml;1;5.778;934;24;0.3449
ba_5838_n89_m3.gml;1;7.5318;2316;48;0.3624
ba_5849_n129_m3.gml;1;11.4922;5513;86;0.3697
ba_5892_n140_m3.gml;1;10.8915;5678;81;0.369
ba_5917_n63_m3.gml;1;6.3772;979;34;0.3753
ba_5943_n178_m1.gml;1;2.9144;24;2;0.2774
ba_5957_n88_m2.gml;1;4.9952;613;19;0.3336
ba_5960_n119_m2.gml;1;5.8957;962;27;0.3321
ba_5966_n142_m3.gml;1;13.2453;7939;107;0.3737
ba_598_n121_m2.gml;1;5.7131;1193;29;0.3433
ba_5990_n130_m3.gml;1;11.6626;6420;113;0.365
ba_6010_n105_m2.gml;1;5.8204;1196;35;0.3394
ba_6039_n94_m2.gml;1;3.8549;566;20;0.3424
ba_6045_n119_m2.gml;1;4.6934;1243;27;0.3428
ba_6077_n129_m2.gml;1;5.3892;1643;39;0.332
ba_6092_n98_m3.gml;1;7.3427;2660;57;0.3702
ba_6127_n121_m3.gml;1;7.4156;4085;66;0.3733
ba_6138_n98_m3.gml;1;6.6061;2302;59;0.3418
ba_6166_n92_m1.gml;1;1.9359;7;1;0.3811
ba_6178_n144_m2.gml;1;5.3357;2050;40;0.3465
