instance;solved;time;GCN;LCN;stress
ba_4833_n71_m1.gml;1;0.3051;3;1;0.2329
ba_4888_n96_m2.gml;1;4.3466;869;25;0.3486
ba_4894_n52_m2.gml;1;2.8365;145;10;0.3562
ba_4986_n93_m2.gml;1;3.7051;529;16;0.333
ba_5043_n112_m1.gml;1;0.3287;9;1;0.2255
ba_5060_n198_m1.gml;1;0.055;4;1;0.2017
ba_508_n81_m3.gml;1;8.1556;1749;42;0.3481
ba_5091_n54_m3.gml;1;5.7411;829;27;0.3552
ba_5098_n78_m3.gml;1;7.4467;1844;50;0.3597
ba_5149_n93_m2.gml;1;4.7962;715;21;0.3552
ba_514_n51_m3.gml;1;5.6887;675;26;0.3393
ba_5151_n153_m2.gml;1;6.509;2572;43;0.3586
ba_5154_n70_m3.gml;1;6.97;1340;39;0.3686
ba_5193_n121_m3.gml;1;10.3314;4497;70;0.3692
ba_5213_n101_m3.gml;1;8.6002;2574;53;0.3572
ba_5226_n94_m2.gml;1;5.7441;722;23;0.3385
ba_5232_n51_m3.gml;1;6.3707;802;30;0.3611
ba_5276_n95_m2.gml;1;5.7466;780;21;0.3354
ba_5280_n130_m2.gml;1;6.2449;1573;35;0.3553
ba_5299_n132_m1.gml;1;1.6432;9;1;0.3341
ba_5306_n100_m2.gml;1;4.5253;834;24;0.3288
ba_5313_n119_m1.gml;1;0.2589;7;1;0.2211
ba_5314_n155_m1.gml;1;0.6651;6;1;0.2552
ba_5322_n53_m2.gml;1;3.8863;136;11;0.3047
ba_5336_n134_m1.gml;1;2.9881;21;3;0.233
