instance;solved;time;GCN;LCN;stress
ba_02_n121_m3.gml;1;18.7274;5081;57;0.3803
ba_03_n94_m3.gml;1;11.6645;2351;35;0.3707
ba_1002_n86_m3.gml;1;12.1521;1830;32;0.3823
ba_1009_n130_m3.gml;1;18.6224;4668;54;0.3744
ba_1019_n84_m2.gml;1;8.0621;562;17;0.3402
ba_1023_n128_m3.gml;1;19.1728;4640;56;0.377
ba_1026_n118_m3.gml;1;18.6006;3967;55;0.3704
ba_1028_n139_m3.gml;1;17.4034;5168;55;0.3814
ba_1035_n198_m1.gml;1;4.2746;4;1;0.2057
ba_1049_n53_m3.gml;1;9.4462;715;21;0.3487
ba_1050_n89_m3.gml;1;12.4772;2097;35;0.3817
ba_1051_n130_m2.gml;1;9.2679;1594;25;0.3482
ba_1066_n140_m2.gml;1;10.738;1593;25;0.3517
ba_1073_n100_m2.gml;1;6.8958;528;12;0.3108
ba_1078_n129_m2.gml;1;10.6278;1380;24;0.3523
ba_1089_n90_m3.gml;1;13.999;2881;43;0.3861
ba_1095_n68_m2.gml;1;7.7574;375;13;0.3405
ba_1096_n94_m2.gml;1;8.0463;645;17;0.3361
ba_10_n113_m2.gml;1;10.5594;1170;23;0.3409
ba_1106_n64_m2.gml;1;7.0608;253;11;0.3354
ba_1109_n184_m1.gml;1;4.1634;3;1;0.258
ba_1115_n129_m1.gml;1;4.6167;11;1;0.2953
ba_1117_n71_m2.gml;1;7.1404;353;11;0.3285
ba_1120_n77_m3.gml;1;9.6245;1548;30;0.3602
ba_1121_n66_m3.gml;1;9.9056;1093;24;0.3504
ba_1122_n139_m2.gml;1;12.1437;1835;30;0.3564
ba_1124_n101_m2.gml;1;8.2439;683;14;0.3332
ba_1128_n142_m3.gml;1;24.9336;8560;86;0.3796
ba_1131_n126_m2.gml;1;8.6123;1163;20;0.3476
ba_1132_n118_m3.gml;1;14.1551;3767;46;0.363
ba_113_n149_m3.gml;1;18.6319;5962;58;0.374
ba_1141_n90_m2.gml;1;7.641;601;15;0.3451
ba_1144_n90_m1.gml;1;4.5616;11;2;0.2924
ba_114_n125_m3.gml;1;15.077;3777;46;0.3769
ba_1165_n146_m2.gml;1;11.887;2068;32;0.3514
ba_1166_n133_m3.gml;1;22.5571;5989;67;0.3754
ba_1172_n146_m2.gml;1;10.7228;1742;25;0.3479
ba_1185_n151_m2.gml;1;10.4469;1745;24;0.3503
ba_1211_n90_m2.gml;1;10.162;960;21;0.3596
ba_1216_n148_m3.gml;1;21.1261;6053;62;0.3756
ba_1217_n141_m3.gml;1;16.6462;5839;59;0.3754
ba_1230_n129_m1.gml;1;4.3542;5;1;0.2893
ba_1234_n138_m2.gml;1;12.3454;2132;33;0.3546
ba_123_n89_m3.gml;1;14.7762;2477;48;0.3784
ba_1242_n75_m3.gml;1;15.3474;2310;42;0.3762
ba_1247_n119_m2.gml;1;9.241;931;19;0.3338
ba_1252_n62_m2.gml;1;7.772;462;15;0.347
ba_1258_n61_m2.gml;1;7.7597;360;12;0.3684
ba_125_n128_m3.gml;1;18.712;4299;53;0.3758
ba_1262_n195_m1.gml;1;5.5508;25;2;0.3119
ba_1265_n105_m1.gml;1;4.344;6;1;0.2857
ba_1274_n127_m2.gml;1;8.7452;1270;23;0.3385
ba_1281_n124_m3.gml;1;16.6411;4702;54;0.3743
ba_1282_n84_m3.gml;1;14.5348;2397;39;0.3717
ba_1292_n57_m2.gml;1;7.4;319;13;0.3442
ba_1303_n77_m3.gml;1;12.7727;1809;29;0.3565
ba_1309_n133_m3.gml;1;18.2082;4872;52;0.3807
ba_1314_n141_m3.gml;1;23.8228;6567;65;0.3755
ba_1324_n105_m2.gml;1;8.8393;816;17;0.3258
ba_1326_n140_m2.gml;1;10.4151;1927;28;0.3548
ba_1327_n97_m2.gml;1;7.8665;742;18;0.3395
ba_1328_n84_m2.gml;1;7.6615;556;15;0.3305
ba_1331_n105_m3.gml;1;15.6799;3778;51;0.3787
ba_1332_n94_m2.gml;1;8.0021;839;18;0.3251
ba_1338_n110_m3.gml;1;12.5973;2906;40;0.3708
ba_133_n134_m2.gml;1;10.0709;1440;22;0.3592
ba_1341_n180_m1.gml;1;7.019;36;3;0.3177
ba_1344_n149_m2.gml;1;11.0369;1787;27;0.347
ba_134_n63_m2.gml;1;8.4559;314;12;0.3236
ba_1358_n147_m2.gml;1;9.2778;1652;23;0.3512
ba_1362_n72_m3.gml;1;12.7728;1563;30;0.3678
ba_1367_n190_m1.gml;1;4.6466;12;2;0.2527
ba_1369_n122_m3.gml;1;14.5038;4121;47;0.3741
ba_1370_n86_m2.gml;1;6.9664;555;14;0.3532
ba_1372_n104_m2.gml;1;8.8543;736;17;0.3325
ba_1375_n151_m3.gml;1;25.7187;7158;71;0.3755
ba_1387_n83_m2.gml;1;7.7957;522;13;0.3419
ba_1394_n96_m1.gml;1;4.1289;6;1;0.3044
ba_1396_n126_m2.gml;1;9.7242;1217;21;0.3483
ba_1405_n138_m2.gml;1;9.6124;1270;22;0.3449
ba_1421_n55_m2.gml;1;6.6029;251;9;0.3775
ba_1427_n114_m3.gml;1;19.4308;5015;64;0.3686
ba_1428_n117_m3.gml;1;17.6291;3702;48;0.3769
ba_1430_n127_m3.gml;1;18.3405;5146;57;0.3854
ba_143_n135_m3.gml;1;19.9471;5598;61;0.3797
ba_1457_n81_m2.gml;1;7.2452;522;14;0.3133
ba_1460_n123_m3.gml;1;18.5069;5128;61;0.3858
ba_1461_n104_m2.gml;1;7.8431;653;15;0.3174
ba_1462_n86_m3.gml;1;13.296;2072;35;0.3756
ba_1471_n91_m2.gml;1;7.8315;631;14;0.3512
ba_1472_n140_m3.gml;1;23.8491;6632;71;0.3685
ba_1482_n68_m3.gml;1;10.6564;1136;26;0.3716
ba_1484_n138_m3.gml;1;23.2887;6234;65;0.3755
