instance;solved;time;GCN;LCN;stress
grafo10003.40.gml;1;8.8563;4;1;0.2802
grafo10008.42.gml;1;12.5959;14;2;0.2863
grafo10020.38.gml;1;12.4825;11;2;0.3251
grafo10027.38.gml;1;11.8819;7;1;0.264
grafo10030.38.gml;1;12.5284;9;2;0.2477
grafo10054.40.gml;1;11.8372;7;1;0.2655
grafo10058.32.gml;1;9.1199;4;1;0.2163
grafo10078.40.gml;1;12.0469;3;1;0.2528
grafo10087.39.gml;1;12.0098;3;1;0.2575
grafo10089.37.gml;1;12.25;7;1;0.255
grafo10100.99.gml;1;14.2864;80;4;0.2869
grafo10103.98.gml;1;14.2508;63;3;0.296
grafo10107.93.gml;1;15.3519;61;3;0.2365
grafo10118.97.gml;1;13.3238;53;3;0.3099
grafo10125.99.gml;1;12.6523;10;1;0.2297
grafo10128.98.gml;1;14.1151;46;3;0.2593
grafo10130.97.gml;1;14.5189;96;4;0.3242
grafo10140.40.gml;1;11.8269;4;1;0.2647
grafo10144.98.gml;1;13.2048;42;2;0.2666
grafo10149.95.gml;1;14.1723;83;4;0.2868
grafo10154.94.gml;1;15.2712;78;4;0.2839
grafo10170.96.gml;1;14.1031;53;3;0.2976
grafo10193.38.gml;1;11.3174;2;1;0.2033
grafo10194.97.gml;1;13.8536;66;3;0.2844
grafo10195.99.gml;1;14.9647;91;4;0.2915
grafo10201.93.gml;1;13.7481;51;3;0.3135
grafo10204.100.gml;1;16.8502;150;6;0.3151
grafo10207.98.gml;1;14.4746;90;3;0.3456
grafo10214.94.gml;1;14.1314;48;3;0.2773
grafo10228.95.gml;1;13.6865;61;3;0.3083
grafo10240.97.gml;1;14.3374;72;4;0.2787
grafo10243.95.gml;1;14.4253;63;3;0.3068
grafo10250.100.gml;1;14.5999;83;4;0.2853
grafo10252.96.gml;1;13.8925;64;3;0.2767
grafo10260.98.gml;1;13.958;41;2;0.2842
grafo10262.100.gml;1;13.988;76;4;0.3035
grafo10266.94.gml;1;14.436;95;4;0.2928
grafo10276.41.gml;1;12.2237;9;2;0.3147
grafo10278.40.gml;1;11.5869;7;1;0.3017
grafo10280.37.gml;1;11.8918;6;1;0.228
grafo10298.97.gml;1;16.2637;108;5;0.2997
grafo10301.94.gml;1;14.9422;91;4;0.2899
grafo10311.91.gml;1;12.9545;20;1;0.2496
grafo10317.91.gml;1;13.5988;40;2;0.2578
grafo10343.94.gml;1;12.9583;5;1;0.2136
grafo10344.100.gml;1;12.7561;30;2;0.2821
grafo1035.37.gml;1;12.1057;7;1;0.2963
grafo10352.95.gml;1;13.7074;32;2;0.229
grafo10362.94.gml;1;14.7674;74;4;0.2707
grafo10366.99.gml;1;13.5314;63;3;0.2959
grafo10370.98.gml;1;13.5573;56;2;0.316
grafo10373.94.gml;1;13.2916;22;2;0.2686
grafo10374.97.gml;1;13.9221;56;3;0.3114
grafo10378.100.gml;1;12.7973;24;2;0.2404
grafo10385.94.gml;1;14.1538;83;3;0.3493
grafo10391.94.gml;1;14.5828;63;4;0.2433
grafo10412.94.gml;1;13.5804;46;3;0.2774
grafo10416.96.gml;1;14.7749;94;4;0.2812
grafo10418.100.gml;1;14.4524;85;3;0.3013
grafo10429.100.gml;1;13.5484;50;3;0.3085
grafo10433.97.gml;1;13.3684;52;3;0.2727
grafo10435.96.gml;1;13.5124;30;2;0.2745
grafo10442.97.gml;1;13.3966;29;2;0.2576
grafo10464.96.gml;1;12.7965;7;1;0.1795
grafo10473.95.gml;1;13.8727;58;3;0.3222
grafo10474.94.gml;1;17.0929;139;7;0.2993
grafo10475.98.gml;1;13.5229;39;2;0.3069
grafo10478.94.gml;1;13.4135;14;1;0.2789
grafo10480.95.gml;1;13.2608;50;3;0.2747
grafo10484.99.gml;1;16.057;145;6;0.311
grafo10486.97.gml;1;13.4947;33;2;0.2554
grafo10490.99.gml;1;14.1856;50;3;0.3091
grafo10498.99.gml;1;13.3937;61;2;0.3438
grafo10502.91.gml;1;13.957;80;3;0.3404
grafo10506.98.gml;1;14.1899;65;3;0.2922
grafo10507.93.gml;1;13.8671;45;2;0.2999
grafo10509.32.gml;1;11.3249;2;1;0.289
grafo10524.97.gml;1;13.0298;20;2;0.2605
grafo10530.100.gml;1;13.5894;51;3;0.3229
grafo10533.100.gml;1;13.6655;50;3;0.2746
grafo10540.97.gml;1;13.7285;39;3;0.3028
grafo10545.93.gml;1;13.1719;28;2;0.2801
grafo10546.98.gml;1;14.2138;49;3;0.3077
grafo10548.94.gml;1;14.7844;91;5;0.2943
grafo10554.93.gml;1;13.4466;12;1;0.2407
grafo10559.98.gml;1;13.8292;50;3;0.3143
grafo10563.41.gml;1;11.4045;1;1;0.2642
grafo10567.38.gml;1;11.4128;1;1;0.1752
grafo10579.96.gml;1;13.3041;28;2;0.2673
grafo10589.93.gml;1;14.8336;99;4;0.272
grafo10593.98.gml;1;14.0391;52;3;0.3234
grafo10594.94.gml;1;14.2547;74;3;0.2769
grafo10595.95.gml;1;13.6946;46;2;0.3248
grafo10605.99.gml;1;14.156;43;3;0.2527
grafo10612.94.gml;1;13.1061;27;2;0.2571
grafo10625.100.gml;1;14.0833;26;2;0.2488
grafo10629.100.gml;1;13.5287;25;2;0.2181
grafo10633.100.gml;1;14.727;82;3;0.313
grafo10634.96.gml;1;14.6576;94;4;0.3227
grafo10635.95.gml;1;15.3089;114;5;0.3079
grafo10636.95.gml;1;15.0955;95;5;0.2795
grafo10637.94.gml;1;15.2581;140;6;0.3359
grafo10639.91.gml;1;13.5308;57;4;0.3037
grafo10641.99.gml;1;13.3691;49;3;0.2868
grafo10644.100.gml;1;15.212;105;5;0.2806
