instance;solved;time;GCN;LCN;stress
grafo9562.66.gml;1;3.1949;40;4;0.2972
grafo9574.74.gml;1;2.9824;67;6;0.2912
grafo9587.62.gml;1;3.3261;76;6;0.3027
grafo9590.74.gml;1;2.853;40;3;0.2837
grafo9599.81.gml;1;2.9331;30;3;0.2651
grafo9600.65.gml;1;3.8754;43;6;0.2631
grafo9601.64.gml;1;3.1138;67;5;0.2714
grafo9608.83.gml;1;1.692;13;1;0.235
grafo9613.67.gml;1;4.362;41;3;0.3443
grafo9630.95.gml;1;2.9817;59;4;0.3135
grafo9636.76.gml;1;2.8657;21;3;0.2302
grafo9639.72.gml;1;0.1847;6;1;0.2213
grafo9648.64.gml;1;0.1824;8;1;0.2671
grafo9658.67.gml;1;0.3127;9;1;0.1817
grafo9662.84.gml;1;2.954;67;3;0.2563
grafo9673.64.gml;1;3.3707;41;3;0.3254
grafo9682.65.gml;1;3.2958;67;6;0.2988
grafo9688.67.gml;1;0.8781;11;1;0.254
grafo9690.63.gml;1;4.0413;24;3;0.289
grafo9696.62.gml;1;2.8947;38;7;0.3167
grafo9698.79.gml;1;3.6891;43;4;0.2802
grafo9704.80.gml;1;2.9501;51;4;0.3029
grafo9705.73.gml;1;3.2554;26;3;0.2798
grafo9712.67.gml;1;3.595;14;2;0.2392
grafo9713.73.gml;1;3.783;46;4;0.3068
grafo9718.76.gml;1;3.6556;21;2;0.2644
grafo9721.79.gml;1;3.307;95;6;0.3059
grafo9722.79.gml;1;3.2546;56;4;0.3061
grafo9729.69.gml;1;3.1333;58;7;0.2737
grafo9731.81.gml;1;2.46;14;1;0.2061
grafo9737.74.gml;1;4.1439;32;5;0.2411
grafo9745.84.gml;1;3.1456;56;4;0.3085
grafo9748.67.gml;1;3.06;85;8;0.276
grafo9750.77.gml;1;3.1795;30;3;0.2874
grafo9751.64.gml;1;3.3516;61;6;0.2959
grafo9753.85.gml;1;3.1723;73;4;0.2999
grafo9762.78.gml;1;3.3257;55;5;0.2848
grafo9763.69.gml;1;3.4558;36;4;0.3087
grafo9770.79.gml;1;3.3421;64;7;0.3047
grafo9777.84.gml;1;2.9636;33;3;0.3379
grafo9796.73.gml;1;3.0714;35;3;0.2722
grafo9797.80.gml;1;2.9476;36;4;0.2814
grafo9801.69.gml;1;2.7348;19;3;0.2755
grafo9807.86.gml;1;2.895;37;3;0.2851
grafo9808.72.gml;1;3.5766;24;4;0.2524
grafo9809.67.gml;1;3.1402;33;4;0.2952
grafo9821.77.gml;1;0.6165;12;1;0.231
grafo9822.62.gml;1;3.2808;46;4;0.3062
grafo9830.71.gml;1;0.2605;10;1;0.2288
grafo9835.77.gml;1;3.3965;33;4;0.2833
grafo9836.62.gml;1;2.5685;26;3;0.2771
grafo9868.37.gml;1;0.1748;8;1;0.2769
grafo9871.38.gml;1;2.5767;20;3;0.3761
grafo9875.38.gml;1;0.2419;8;1;0.2554
grafo9887.91.gml;1;2.969;72;5;0.3024
grafo9905.33.gml;1;0.0683;2;1;0.2385
grafo9906.38.gml;1;0.285;10;1;0.2521
grafo9914.91.gml;1;2.7793;59;5;0.3048
grafo9924.39.gml;1;0.2356;7;1;0.2552
grafo9927.40.gml;1;0.5585;7;1;0.3274
grafo9937.91.gml;1;2.7093;62;4;0.2775
grafo9945.91.gml;1;2.8278;56;4;0.2768
grafo9948.91.gml;1;2.8541;77;4;0.2747
grafo9950.100.gml;1;2.7398;35;3;0.265
grafo9965.34.gml;1;2.2746;9;1;0.2927
grafo9972.41.gml;1;0.5432;11;1;0.2796
grafo9978.41.gml;1;0.2355;9;1;0.2831
grafo9983.91.gml;1;2.8276;85;6;0.244
grafo9986.91.gml;1;2.6977;60;4;0.2622
grafo9987.91.gml;1;2.5684;32;3;0.2478
grafo9993.91.gml;1;2.7217;75;5;0.2998
grafo9997.40.gml;1;0.4222;9;1;0.2901
