instance;solved;time;GCN;LCN;stress
ba_2018_n120_m3.gml;1;11.4189;4308;73;0.3643
ba_2027_n121_m3.gml;1;12.1224;4363;77;0.3662
ba_2045_n191_m1.gml;1;4.0854;46;5;0.2696
ba_2066_n55_m3.gml;1;6.1876;802;29;0.3566
ba_2073_n57_m2.gml;1;4.6503;178;10;0.314
ba_2078_n104_m2.gml;1;6.5332;854;26;0.3361
ba_2097_n77_m3.gml;1;8.3911;1735;48;0.351
ba_2101_n114_m1.gml;1;3.1741;13;3;0.2796
ba_2110_n139_m2.gml;1;6.5041;1647;35;0.3485
ba_2113_n56_m3.gml;1;7.3922;873;30;0.3433
ba_2116_n113_m2.gml;1;6.8402;1006;31;0.3224
ba_2171_n146_m3.gml;1;12.3598;5521;80;0.3683
ba_2214_n115_m3.gml;1;12.6186;4523;78;0.3729
ba_2230_n63_m3.gml;1;6.4397;910;26;0.3493
ba_2271_n187_m1.gml;1;3.1909;40;6;0.3353
ba_2274_n118_m2.gml;1;7.8341;1319;32;0.3418
ba_2275_n132_m3.gml;1;14.0079;7654;98;0.3724
ba_2304_n88_m3.gml;1;8.4416;2236;49;0.3593
ba_2306_n148_m2.gml;1;6.5429;1871;45;0.3417
ba_2326_n58_m3.gml;1;5.725;828;27;0.3411
