instance;solved;time;GCN;LCN;stress
grafo4633.65.gml;1;3.2931;45;7;0.3135
grafo4636.82.gml;1;2.5335;63;5;0.2669
grafo4644.84.gml;1;2.4319;102;6;0.2935
grafo4654.74.gml;1;2.8275;78;4;0.2957
grafo4657.79.gml;1;2.5162;88;7;0.2804
grafo4658.76.gml;1;2.8136;82;6;0.2995
grafo4662.50.gml;1;0.2075;5;1;0.2164
grafo4665.76.gml;1;2.5458;60;5;0.2678
grafo4668.61.gml;1;2.7048;55;6;0.3181
grafo4692.76.gml;1;2.3852;29;4;0.242
grafo4694.76.gml;1;2.5429;77;6;0.3219
grafo4701.54.gml;1;1.8322;7;1;0.3085
grafo4704.60.gml;1;2.7889;55;4;0.2855
grafo4713.61.gml;1;2.8306;45;5;0.296
grafo4716.53.gml;1;3.4669;38;3;0.2995
grafo4718.64.gml;1;2.452;50;3;0.2627
grafo4725.75.gml;1;2.4386;58;4;0.2616
grafo4726.51.gml;1;2.1281;20;4;0.2902
grafo4730.58.gml;1;2.3112;40;6;0.2506
grafo4736.52.gml;1;0.1796;6;1;0.1923
grafo4743.76.gml;1;2.3935;47;3;0.2987
grafo4746.67.gml;1;2.349;44;4;0.3145
grafo4756.51.gml;1;2.2482;42;6;0.2884
grafo4764.83.gml;1;2.4104;51;3;0.2733
grafo4771.73.gml;1;2.3142;44;4;0.3189
grafo4773.57.gml;1;2.2524;30;3;0.2594
grafo4774.65.gml;1;2.955;12;2;0.209
grafo4782.66.gml;1;2.5881;77;6;0.311
grafo4783.80.gml;1;4.1193;40;4;0.2391
grafo4790.62.gml;1;3.1157;32;4;0.2864
grafo4791.78.gml;1;3.1273;20;3;0.2349
grafo4795.60.gml;1;2.488;64;4;0.2822
grafo4797.75.gml;1;2.4177;60;4;0.2978
grafo4803.53.gml;1;2.2391;18;3;0.3062
grafo4814.68.gml;1;3.0054;51;4;0.3159
grafo4818.65.gml;1;3.25;30;4;0.2764
grafo4822.72.gml;1;2.4057;38;3;0.3007
grafo4825.83.gml;1;2.9076;52;5;0.2668
grafo4831.56.gml;1;2.7743;56;6;0.2969
grafo4832.59.gml;1;2.1466;15;2;0.3035
grafo4834.74.gml;1;2.5019;17;2;0.2457
grafo4836.56.gml;1;2.9613;30;4;0.2495
grafo4838.58.gml;1;3.2747;58;6;0.2602
grafo4846.62.gml;1;0.8151;10;1;0.2509
grafo4850.55.gml;1;2.2096;26;4;0.2636
grafo4852.58.gml;1;3.3303;34;6;0.3023
grafo4853.49.gml;1;1.5982;6;1;0.2707
grafo4861.55.gml;1;3.2521;22;3;0.2895
grafo4862.51.gml;1;2.1285;14;4;0.251
grafo4867.57.gml;1;3.1248;22;3;0.3189
grafo4870.75.gml;1;2.4291;43;4;0.3056
grafo4872.60.gml;1;2.839;126;8;0.2832
grafo4875.78.gml;1;2.4877;100;7;0.3272
grafo4882.53.gml;1;3.4055;27;3;0.2502
grafo4883.62.gml;1;2.4555;9;1;0.2923
grafo4885.71.gml;1;2.4735;73;5;0.2968
grafo4886.60.gml;1;2.1163;22;6;0.266
grafo4889.58.gml;1;3.0909;24;2;0.2802
grafo4890.80.gml;1;2.4279;48;5;0.2673
grafo4895.53.gml;1;2.3688;29;4;0.2937
grafo4900.59.gml;1;3.7286;26;3;0.2418
grafo4918.55.gml;1;0.0445;4;1;0.2146
grafo4923.63.gml;1;0.215;5;1;0.2834
grafo4924.62.gml;1;3.1319;30;3;0.3345
grafo4938.71.gml;1;2.4788;38;3;0.3265
grafo4942.54.gml;1;3.5474;43;4;0.2521
grafo4955.59.gml;1;1.2052;12;1;0.3265
grafo4960.58.gml;1;2.9217;16;2;0.2957
grafo4962.76.gml;1;2.5023;50;4;0.2862
grafo4968.77.gml;1;2.5665;26;2;0.2899
grafo4986.83.gml;1;2.9884;46;4;0.3228
grafo4987.64.gml;1;0.0552;8;1;0.2224
grafo4989.75.gml;1;2.7471;26;3;0.2771
grafo4993.65.gml;1;2.4552;94;5;0.3666
grafo4994.65.gml;1;2.6916;53;4;0.3065
grafo4996.53.gml;1;2.0949;11;1;0.2898
grafo4999.55.gml;1;2.1375;20;2;0.2713
grafo5002.54.gml;1;0.0612;5;1;0.1783
grafo5008.58.gml;1;2.231;34;4;0.2671
grafo5011.62.gml;1;2.2766;31;4;0.2719
grafo5012.53.gml;1;3.1719;26;3;0.2972
grafo5013.82.gml;1;2.4418;34;4;0.2477
grafo5015.80.gml;1;0.7748;7;1;0.1746
grafo5022.67.gml;1;2.6573;95;6;0.3025
grafo5024.84.gml;1;2.5962;70;5;0.3293
grafo5028.83.gml;1;2.4825;85;5;0.3112
grafo5034.78.gml;1;3.0493;13;2;0.298
grafo5036.62.gml;1;3.2328;36;6;0.2969
grafo5040.53.gml;1;2.3279;33;4;0.2741
grafo5048.61.gml;1;2.2565;20;6;0.2388
grafo5051.80.gml;1;2.7673;90;5;0.3248
grafo5053.60.gml;1;2.9303;46;5;0.2858
grafo5055.56.gml;1;2.225;20;3;0.2615
grafo506.43.gml;1;0.0421;5;1;0.2443
grafo5076.78.gml;1;2.5808;29;3;0.282
grafo5077.56.gml;1;3.3292;28;5;0.2896
grafo5079.64.gml;1;3.248;27;3;0.267
grafo5080.79.gml;1;2.582;37;3;0.2704
grafo5082.60.gml;1;2.8287;27;3;0.3038
grafo5085.81.gml;1;2.6038;69;4;0.3001
grafo5087.77.gml;1;2.4442;21;3;0.2617
grafo5095.62.gml;1;2.7587;33;3;0.2832
grafo5098.58.gml;1;3.488;34;5;0.3197
grafo5104.57.gml;1;3.1821;19;3;0.2675
grafo5109.83.gml;1;2.4284;64;4;0.2802
grafo5115.65.gml;1;2.4661;52;4;0.2958
grafo5116.74.gml;1;2.4844;51;4;0.257
grafo5119.76.gml;1;2.4668;88;5;0.3057
grafo5120.60.gml;1;2.1765;15;2;0.3074
grafo5122.39.gml;1;0.607;8;1;0.2235
grafo5124.36.gml;1;0.0514;1;1;0.1735
grafo5126.43.gml;1;0.372;3;1;0.2431
grafo5142.36.gml;1;0.5028;6;1;0.3016
grafo5147.67.gml;1;3.3161;25;5;0.2348
grafo5150.52.gml;1;2.2109;18;3;0.2959
grafo5154.39.gml;1;2.1677;20;3;0.3442
grafo5157.39.gml;1;0.5983;6;1;0.3102
grafo5166.42.gml;1;0.3024;6;1;0.2405
grafo5170.59.gml;1;2.2396;13;2;0.2923
grafo5171.77.gml;1;0.0711;7;1;0.1651
grafo5178.42.gml;1;2.1557;26;3;0.3343
grafo5186.55.gml;1;3.2898;45;4;0.3203
grafo5188.70.gml;1;2.5848;26;3;0.257
grafo5196.73.gml;1;3.0477;20;3;0.2872
grafo5207.43.gml;1;2.3052;32;3;0.2894
grafo5235.32.gml;1;0.2945;4;1;0.1442
grafo5241.42.gml;1;1.7326;6;1;0.2851
grafo5249.56.gml;1;3.1667;59;6;0.3296
grafo5255.47.gml;1;2.1501;24;4;0.3031
grafo5257.38.gml;1;0.14;3;1;0.1362
grafo5263.75.gml;1;2.3723;46;4;0.2993
grafo5265.40.gml;1;2.1863;15;3;0.3022
grafo5267.43.gml;1;0.9113;8;1;0.2633
grafo5268.43.gml;1;0.1736;3;1;0.1955
grafo5277.44.gml;1;1.1692;8;1;0.2421
grafo5279.78.gml;1;2.5373;84;6;0.2825
grafo5282.58.gml;1;2.3434;28;3;0.2934
grafo5287.61.gml;1;2.7549;63;5;0.3096
grafo5301.37.gml;1;0.0531;5;1;0.2036
grafo5305.63.gml;1;2.7814;38;3;0.3261
grafo5307.39.gml;1;2.2085;15;3;0.303
grafo5311.54.gml;1;2.187;30;3;0.324
grafo5322.67.gml;1;2.2783;29;3;0.251
grafo5323.44.gml;1;0.4128;4;1;0.3083
grafo5324.62.gml;1;0.3572;8;1;0.1779
grafo5327.40.gml;1;0.0529;4;1;0.2231
grafo5332.61.gml;1;3.5182;21;2;0.3051
grafo5333.43.gml;1;0.1894;5;1;0.2002
grafo5340.34.gml;1;2.1458;11;3;0.3178
grafo5358.47.gml;1;3.7156;46;6;0.3268
grafo5361.76.gml;1;2.4673;67;4;0.2745
grafo5366.51.gml;1;2.348;31;5;0.2824
grafo5374.35.gml;1;0.0338;3;1;0.1882
grafo5375.71.gml;1;2.6203;35;3;0.3036
grafo5389.58.gml;1;2.4859;44;4;0.3252
grafo5395.33.gml;1;2.1034;11;2;0.3134
grafo5403.58.gml;1;2.2272;26;4;0.2768
grafo5404.44.gml;1;2.1446;26;7;0.3235
grafo5410.36.gml;1;0.2489;4;1;0.237
grafo5423.76.gml;1;2.4809;39;4;0.2659
grafo5425.56.gml;1;3.7989;40;3;0.2729
grafo5436.42.gml;1;2.2267;20;2;0.3092
grafo5440.44.gml;1;0.3851;8;1;0.2063
grafo5446.40.gml;1;0.4204;6;1;0.3095
grafo5467.43.gml;1;4.0038;66;6;0.302
grafo5473.46.gml;1;2.2188;19;3;0.2765
grafo5478.32.gml;1;0.0384;4;1;0.17
grafo5491.74.gml;1;2.3306;43;3;0.3283
grafo5496.44.gml;1;2.1214;12;2;0.3116
grafo5497.77.gml;1;2.61;34;6;0.2749
grafo5499.38.gml;1;0.0348;4;1;0.1663
grafo5502.37.gml;1;0.0584;7;1;0.2254
grafo5507.46.gml;1;2.1741;13;3;0.3044
grafo5513.71.gml;1;2.4974;36;3;0.2593
grafo5514.39.gml;1;0.0502;2;1;0.2004
grafo5533.47.gml;1;2.1934;15;2;0.2774
grafo5537.43.gml;1;1.0422;8;1;0.351
grafo5566.43.gml;1;2.1247;15;3;0.2511
grafo5572.82.gml;1;2.432;78;4;0.3197
grafo5582.38.gml;1;2.3439;28;4;0.3102
grafo5595.42.gml;1;0.6543;7;1;0.2144
grafo5603.38.gml;1;2.1277;12;2;0.2525
grafo5607.38.gml;1;2.227;16;3;0.2289
grafo5613.35.gml;1;0.053;5;1;0.1828
grafo5619.39.gml;1;0.4642;7;1;0.2705
grafo563.19.gml;1;1.34;3;1;0.3851
grafo5647.78.gml;1;3.3702;25;4;0.2748
grafo5652.40.gml;1;2.0609;6;2;0.2075
grafo5659.46.gml;1;0.4239;6;1;0.2289
grafo5661.48.gml;1;0.3444;4;1;0.2589
grafo5683.39.gml;1;2.2069;11;2;0.1808
grafo5694.45.gml;1;2.2681;17;3;0.3044
grafo5709.59.gml;1;2.1376;21;3;0.3327
grafo5723.43.gml;1;2.1519;14;2;0.2926
grafo5725.76.gml;1;3.0969;23;2;0.3017
grafo5735.77.gml;1;2.3887;34;3;0.2883
grafo574.12.gml;1;0.038;3;1;0.1907
grafo5740.61.gml;1;2.8562;62;5;0.3421
grafo5741.42.gml;1;2.1726;23;3;0.3237
grafo5742.39.gml;1;2.1828;13;2;0.2674
