instance;solved;time;GCN;LCN;stress
grafo9103.80.gml;1;48.6957;29;4;0.4109
grafo9104.82.gml;1;48.2204;40;7;0.3614
grafo9115.82.gml;1;48.2037;25;4;0.4372
grafo9120.64.gml;1;48.1315;29;3;0.422
grafo9128.64.gml;1;48.1589;44;7;0.4307
grafo9136.67.gml;1;47.7361;23;3;0.3916
grafo914.26.gml;1;48.0304;10;3;0.5658
grafo9150.82.gml;1;48.4668;44;7;0.3737
grafo9151.63.gml;1;48.2419;19;3;0.4141
grafo9153.74.gml;1;48.3722;35;6;0.3246
grafo9154.66.gml;1;48.367;46;6;0.4283
grafo9157.68.gml;1;48.4113;25;4;0.3977
grafo9160.72.gml;1;48.2631;33;4;0.3829
grafo9164.66.gml;1;47.8485;34;7;0.3684
grafo9167.67.gml;1;48.2794;34;5;0.3456
grafo9169.67.gml;1;47.9405;65;8;0.3719
grafo9174.81.gml;1;47.9191;22;4;0.3444
grafo9181.67.gml;1;47.5352;39;7;0.382
grafo9185.64.gml;1;48.0835;28;5;0.3593
grafo9191.69.gml;1;47.4363;24;4;0.4139
grafo9197.70.gml;1;47.8063;44;5;0.4416
grafo9198.81.gml;1;48.1119;75;6;0.4042
grafo9201.83.gml;1;47.8232;40;5;0.4009
grafo9204.71.gml;1;48.174;41;5;0.3758
grafo9206.66.gml;1;47.3533;20;4;0.3851
grafo9217.88.gml;1;48.0264;48;5;0.3803
grafo9224.65.gml;1;47.8171;44;6;0.4564
grafo9228.81.gml;1;47.9473;55;7;0.4095
grafo9230.83.gml;1;48.0216;71;9;0.449
grafo9231.81.gml;1;48.0909;62;6;0.4039
grafo9232.69.gml;1;48.0878;40;4;0.3953
grafo9238.85.gml;1;47.9461;16;3;0.3825
grafo9239.62.gml;1;47.295;19;2;0.3192
grafo9242.72.gml;1;48.1131;26;4;0.3689
grafo9245.82.gml;1;48.0957;27;3;0.3428
grafo9248.64.gml;1;47.8684;47;5;0.461
grafo925.21.gml;1;45.0634;4;1;0.4078
grafo9250.73.gml;1;48.0902;19;6;0.3286
grafo9256.79.gml;1;47.4236;22;4;0.352
grafo9257.62.gml;1;47.6549;23;5;0.3425
