instance;solved;time;GCN;LCN;stress
grafo3633.38.gml;1;51.138;18;5;0.4058
grafo3638.57.gml;1;50.2214;16;4;0.3724
grafo3641.52.gml;1;49.576;17;5;0.403
grafo3645.35.gml;1;48.4825;13;3;0.4938
grafo3655.39.gml;1;48.6211;18;4;0.4882
grafo3657.42.gml;1;50.1791;8;2;0.3503
grafo3669.43.gml;1;46.8624;8;2;0.5423
grafo3670.41.gml;1;48.3599;17;3;0.4749
grafo3679.39.gml;1;46.6872;3;2;0.3669
grafo3682.49.gml;1;49.9466;28;5;0.4074
grafo3691.41.gml;1;47.6208;10;2;0.3677
grafo3698.56.gml;1;49.8218;39;7;0.4864
grafo3704.52.gml;1;49.8009;9;2;0.4055
grafo3707.43.gml;1;48.7687;2;1;0.5282
grafo3717.51.gml;1;50.0891;20;5;0.4279
grafo3720.35.gml;1;50.4481;8;3;0.4095
grafo3722.40.gml;1;49.6274;9;3;0.3608
grafo3723.53.gml;1;48.8643;18;4;0.4509
grafo3728.37.gml;1;47.9773;4;2;0.3066
grafo3731.47.gml;1;48.0336;24;6;0.4595
grafo3748.54.gml;1;48.3774;16;2;0.5038
grafo3750.53.gml;1;48.7183;9;3;0.4461
grafo3752.38.gml;1;47.3792;6;2;0.4074
grafo3756.90.gml;1;48.8682;59;5;0.3686
grafo3757.39.gml;1;48.3305;15;3;0.4227
grafo3767.36.gml;1;48.8995;12;4;0.4085
grafo3775.45.gml;1;47.1407;10;3;0.4995
grafo3776.53.gml;1;48.6941;29;3;0.3964
grafo3779.52.gml;1;47.2643;15;3;0.4169
grafo3785.54.gml;1;48.263;20;4;0.3907
grafo3794.41.gml;1;47.2777;7;2;0.3882
grafo3804.40.gml;1;48.5239;6;2;0.4358
grafo3809.43.gml;1;42.9328;4;2;0.4535
grafo3821.55.gml;1;48.5423;42;5;0.4392
grafo3827.42.gml;1;48.685;9;2;0.3865
grafo3832.52.gml;1;48.6223;20;5;0.3952
grafo3833.55.gml;1;48.3604;12;4;0.3863
grafo3841.57.gml;1;48.156;21;4;0.418
grafo3850.54.gml;1;47.1974;11;3;0.4493
grafo3852.52.gml;1;47.8054;15;2;0.4258
grafo3857.39.gml;1;48.1595;9;2;0.5239
grafo3859.39.gml;1;46.5026;11;2;0.5106
grafo3867.59.gml;1;47.9773;20;3;0.3521
grafo3876.94.gml;1;47.9685;27;5;0.3188
grafo3877.33.gml;1;44.788;14;4;0.5424
grafo3883.42.gml;1;47.7181;23;5;0.4811
grafo3891.39.gml;1;44.3457;13;3;0.4677
grafo3896.38.gml;1;46.453;5;2;0.3721
grafo3908.41.gml;1;48.0434;12;3;0.5103
grafo3911.34.gml;1;45.8647;10;3;0.3482
grafo3913.43.gml;1;46.9946;31;7;0.3988
grafo3916.40.gml;1;47.9027;13;4;0.3912
grafo3917.38.gml;1;47.3832;23;4;0.4698
grafo3919.38.gml;1;46.8412;6;2;0.4475
grafo3927.45.gml;1;47.5575;11;4;0.4226
grafo3929.62.gml;1;46.8439;9;2;0.3771
grafo3933.43.gml;1;46.8003;18;4;0.3697
grafo3942.40.gml;1;47.0443;7;3;0.4368
grafo3944.39.gml;1;46.7754;17;4;0.4171
grafo3957.57.gml;1;47.6058;21;4;0.4117
grafo3965.57.gml;1;47.8695;14;3;0.3761
grafo3969.54.gml;1;48.0444;9;3;0.3839
grafo3972.43.gml;1;48.0054;15;2;0.4481
grafo3981.43.gml;1;48.0069;9;2;0.5017
grafo3987.40.gml;1;70.1299;17;3;0.4235
grafo3992.44.gml;1;72.5865;15;4;0.4471
grafo3993.52.gml;1;67.042;37;6;0.4175
grafo3999.42.gml;1;47.856;18;3;0.4402
grafo4005.39.gml;1;46.505;13;4;0.3991
grafo4007.37.gml;1;46.1507;8;3;0.3869
grafo4009.43.gml;1;47.9584;10;2;0.5387
grafo4013.38.gml;1;47.9022;4;2;0.4419
grafo4017.44.gml;1;47.5332;11;2;0.4312
grafo4026.43.gml;1;47.4407;5;2;0.3175
grafo4034.40.gml;1;48.0831;5;2;0.3929
grafo4046.49.gml;1;47.4052;13;4;0.4151
grafo4062.56.gml;1;48.0394;28;5;0.4226
grafo4065.39.gml;1;47.8166;4;1;0.4909
grafo4066.39.gml;1;50.6784;10;3;0.3749
grafo4082.60.gml;1;50.0764;24;3;0.4391
grafo4088.45.gml;1;47.5274;13;4;0.5258
grafo4097.39.gml;1;47.4665;11;2;0.412
grafo4104.39.gml;1;47.3274;13;2;0.5015
grafo4107.37.gml;1;47.3573;7;2;0.4876
grafo4119.80.gml;1;47.9729;61;6;0.38
