instance;solved;time;GCN;LCN;stress
ba_8866_n144_m3.gml;1;0.836;8322;125;0.4366
ba_8894_n178_m1.gml;1;0.1948;4;1;0.245
ba_8899_n74_m3.gml;1;0.2586;4574;108;0.5586
ba_896_n113_m2.gml;1;0.4385;794;35;0.3913
ba_8970_n84_m2.gml;1;0.2625;308;16;0.3991
ba_8983_n108_m2.gml;1;0.3576;442;19;0.3671
ba_899_n74_m3.gml;1;0.2582;1580;51;0.4081
ba_9015_n135_m2.gml;1;0.6178;1079;47;0.3885
ba_9035_n99_m2.gml;1;0.3827;647;32;0.3684
ba_9077_n110_m2.gml;1;0.5472;585;22;0.4123
ba_9079_n88_m3.gml;1;0.3509;6737;136;0.562
ba_908_n106_m3.gml;1;0.4093;3369;74;0.4304
ba_9103_n183_m1.gml;1;0.164;14;5;0.2676
ba_9123_n94_m1.gml;1;0.1445;2;1;0.2768
ba_9143_n80_m3.gml;1;0.3421;3370;81;0.5345
ba_9161_n142_m3.gml;1;0.671;9089;158;0.4258
ba_9175_n85_m2.gml;1;0.3255;350;23;0.3833
ba_9177_n58_m2.gml;1;0.1804;174;17;0.3489
ba_9179_n113_m3.gml;1;0.4723;5539;105;0.4537
ba_919_n117_m3.gml;1;0.4654;4125;85;0.4353
ba_9222_n146_m1.gml;1;0.197;20;4;0.3183
ba_928_n98_m2.gml;1;0.3059;699;33;0.3904
ba_9292_n109_m3.gml;1;0.4217;3424;78;0.4019
ba_9296_n50_m3.gml;1;0.222;595;32;0.4248
ba_9307_n174_m1.gml;1;0.1834;3;1;0.2606
ba_9313_n140_m2.gml;1;0.7101;1510;49;0.3819
ba_9326_n56_m2.gml;1;0.2121;154;15;0.3723
ba_937_n68_m3.gml;1;0.2679;1083;37;0.4258
ba_9413_n58_m3.gml;1;0.2297;1163;58;0.4575
ba_9437_n190_m1.gml;1;0.1954;29;5;0.2505
ba_9482_n117_m3.gml;1;0.5614;5330;91;0.4218
ba_9483_n52_m2.gml;1;0.1821;130;16;0.38
ba_9523_n199_m1.gml;1;0.2271;46;5;0.3029
ba_953_n140_m3.gml;1;0.7085;4167;77;0.3981
ba_95_n183_m1.gml;1;0.157;10;3;0.3213
ba_963_n109_m2.gml;1;0.4115;612;33;0.3583
ba_9650_n139_m2.gml;1;0.5711;1133;56;0.4232
ba_9656_n116_m3.gml;1;0.4901;3677;74;0.415
ba_9711_n130_m3.gml;1;0.6108;5323;109;0.4213
ba_9717_n181_m1.gml;1;0.1696;31;8;0.3111
ba_9766_n92_m3.gml;1;0.3909;5398;99;0.46
ba_9777_n149_m2.gml;1;0.5491;1113;39;0.3955
ba_9796_n137_m3.gml;1;0.603;9491;144;0.438
ba_9820_n163_m1.gml;1;0.1698;7;3;0.2307
ba_9827_n169_m1.gml;1;0.1806;14;2;0.2738
ba_9844_n58_m2.gml;1;0.2159;162;22;0.4088
ba_9870_n73_m2.gml;1;0.2873;275;17;0.4088
ba_9930_n72_m2.gml;1;0.2569;255;17;0.3778
ba_994_n72_m2.gml;1;0.2601;413;20;0.3523
ba_9978_n123_m2.gml;1;0.4147;1012;37;0.404
ba_02_n121_m3.gml;1;0.4897;6490;113;0.424
ba_1009_n130_m3.gml;1;0.6887;4140;91;0.3884
ba_1019_n84_m2.gml;1;0.2919;359;24;0.379
ba_1028_n139_m3.gml;1;0.92;5363;98;0.3983
ba_1051_n130_m2.gml;1;0.5444;1114;43;0.3916
ba_1066_n140_m2.gml;1;0.7052;1086;33;0.413
ba_1078_n129_m2.gml;1;0.6847;1671;61;0.4178
ba_1095_n68_m2.gml;1;0.2388;220;17;0.4018
ba_1106_n64_m2.gml;1;0.2772;188;19;0.3927
ba_113_n149_m3.gml;1;0.7485;5332;93;0.4018
ba_1217_n141_m3.gml;1;0.6887;5359;111;0.4046
ba_1230_n129_m1.gml;1;0.1515;8;3;0.2674
ba_123_n89_m3.gml;1;0.3789;6873;126;0.5699
ba_125_n128_m3.gml;1;0.7346;5577;89;0.4313
ba_1265_n105_m1.gml;1;0.1884;2;1;0.2393
ba_1281_n124_m3.gml;1;0.5506;4621;93;0.4298
ba_1303_n77_m3.gml;1;0.2961;2275;57;0.4541
ba_1309_n133_m3.gml;1;0.716;6681;127;0.4287
ba_1326_n140_m2.gml;1;0.9144;1537;53;0.3985
ba_1332_n94_m2.gml;1;0.3661;793;40;0.3939
ba_1338_n110_m3.gml;1;0.4271;2386;64;0.4268
ba_1362_n72_m3.gml;1;0.2475;2250;74;0.4691
ba_1370_n86_m2.gml;1;0.2856;356;28;0.4056
ba_1396_n126_m2.gml;1;0.5548;760;35;0.4094
ba_1405_n138_m2.gml;1;0.7386;868;26;0.4021
ba_1427_n114_m3.gml;1;0.4817;4748;98;0.3987
ba_1428_n117_m3.gml;1;0.5407;4042;85;0.4217
ba_143_n135_m3.gml;1;0.6023;5065;109;0.4085
ba_1457_n81_m2.gml;1;0.2559;352;20;0.3654
ba_1472_n140_m3.gml;1;0.8425;7314;124;0.4062
ba_1487_n162_m1.gml;1;0.1045;3;1;0.3346
ba_1528_n100_m2.gml;1;0.3323;431;25;0.3678
ba_1529_n56_m3.gml;1;0.2326;576;32;0.4054
ba_1538_n91_m3.gml;1;0.3479;2580;66;0.4104
ba_1550_n91_m2.gml;1;0.2893;445;23;0.3819
ba_1554_n117_m2.gml;1;0.5619;655;24;0.379
ba_1562_n135_m3.gml;1;0.5568;4871;84;0.4167
ba_1597_n84_m3.gml;1;0.2556;3248;77;0.4476
ba_1604_n149_m3.gml;1;0.7714;8831;136;0.4293
ba_1607_n99_m3.gml;1;0.4151;2564;79;0.4117
ba_1608_n120_m3.gml;1;0.4017;4604;111;0.3973
ba_1628_n148_m2.gml;1;0.597;2015;66;0.4109
ba_1650_n84_m2.gml;1;0.2708;317;17;0.4062
ba_1721_n132_m3.gml;1;0.55;4624;86;0.4258
ba_1726_n130_m1.gml;1;0.1457;9;3;0.2842
ba_1729_n138_m3.gml;1;0.5908;6619;115;0.4086
ba_1752_n95_m2.gml;1;0.2984;374;19;0.3479
ba_1759_n143_m1.gml;1;0.1558;11;2;0.3059
ba_1778_n128_m1.gml;1;0.1702;12;6;0.2126
ba_177_n110_m3.gml;1;0.4047;3334;67;0.4145
ba_1782_n96_m2.gml;1;0.3595;504;24;0.3909
ba_1812_n198_m1.gml;1;0.1755;11;3;0.259
ba_1824_n94_m3.gml;1;0.3518;2925;70;0.4162
ba_1829_n108_m3.gml;1;0.4814;3053;81;0.4195
ba_1870_n148_m2.gml;1;0.6495;1006;30;0.3826
ba_1872_n116_m2.gml;1;0.4709;722;31;0.3746
ba_1885_n112_m3.gml;1;0.4483;3924;84;0.4249
ba_1903_n100_m3.gml;1;0.4064;2297;53;0.4329
ba_1910_n108_m2.gml;1;0.3809;764;40;0.3847
ba_197_n96_m2.gml;1;0.3047;388;25;0.3633
ba_2018_n120_m3.gml;1;0.6302;4139;82;0.3977
ba_2027_n121_m3.gml;1;0.5154;3816;86;0.4031
ba_2045_n191_m1.gml;1;0.1902;31;5;0.2616
ba_2066_n55_m3.gml;1;0.2205;743;33;0.4188
ba_2073_n57_m2.gml;1;0.1926;127;13;0.3439
ba_2078_n104_m2.gml;1;0.3922;634;30;0.3839
ba_2097_n77_m3.gml;1;0.2501;2652;74;0.4525
ba_2101_n114_m1.gml;1;0.1825;9;3;0.2101
ba_2110_n139_m2.gml;1;0.6457;1146;41;0.4072
ba_2113_n56_m3.gml;1;0.2154;971;51;0.3809
ba_2116_n113_m2.gml;1;0.462;691;38;0.3814
ba_2171_n146_m3.gml;1;0.7861;4849;84;0.3997
ba_2214_n115_m3.gml;1;0.5621;3794;96;0.4049
ba_2230_n63_m3.gml;1;0.2158;1186;50;0.4564
ba_2271_n187_m1.gml;1;0.1762;13;5;0.3275
ba_2274_n118_m2.gml;1;0.4532;1053;51;0.401
ba_2275_n132_m3.gml;1;0.6422;9889;128;0.4621
ba_2304_n88_m3.gml;1;0.3144;2023;60;0.4411
ba_2306_n148_m2.gml;1;0.7428;1614;47;0.383
ba_2326_n58_m3.gml;1;0.223;1269;56;0.4888
ba_2332_n142_m2.gml;1;0.8308;1436;54;0.4163
ba_2339_n56_m3.gml;1;0.2165;1369;55;0.5156
ba_2357_n126_m3.gml;1;0.5037;4889;98;0.4561
ba_2368_n80_m2.gml;1;0.2902;563;28;0.3756
ba_2401_n90_m3.gml;1;0.316;3664;103;0.444
ba_2474_n90_m3.gml;1;0.297;1631;52;0.4048
ba_2481_n89_m2.gml;1;0.3293;354;19;0.3456
ba_248_n96_m2.gml;1;0.3617;627;39;0.4064
ba_2512_n75_m2.gml;1;0.2655;278;17;0.4304
ba_2526_n182_m1.gml;1;0.1438;2;1;0.2046
ba_2545_n145_m2.gml;1;0.7282;1760;66;0.3962
ba_2561_n56_m3.gml;1;0.242;1148;43;0.4678
ba_2562_n185_m1.gml;1;0.1691;9;3;0.1926
ba_2598_n99_m1.gml;1;0.1639;2;1;0.2206
ba_2609_n77_m3.gml;1;0.2445;2357;73;0.4853
ba_2669_n166_m1.gml;1;0.1698;4;1;0.2338
ba_2681_n89_m2.gml;1;0.3508;431;21;0.3568
ba_2691_n67_m2.gml;1;0.2397;213;15;0.3571
ba_2702_n183_m1.gml;1;0.1943;20;4;0.3053
ba_270_n114_m3.gml;1;0.3673;3948;88;0.4149
ba_2720_n154_m2.gml;1;0.6575;1446;46;0.4248
ba_2725_n126_m3.gml;1;0.4385;4055;94;0.4336
ba_2751_n73_m1.gml;1;0.1622;5;2;0.2783
ba_2766_n192_m1.gml;1;0.148;5;2;0.2266
ba_2782_n145_m3.gml;1;0.9066;9532;142;0.4454
ba_278_n105_m2.gml;1;0.3905;503;28;0.3837
ba_281_n105_m2.gml;1;0.3856;607;31;0.3878
ba_282_n91_m2.gml;1;0.2844;383;28;0.3907
ba_2847_n52_m2.gml;1;0.1651;129;11;0.4211
ba_2870_n147_m2.gml;1;0.6699;3526;78;0.4509
ba_28_n108_m3.gml;1;0.3928;4209;99;0.4096
ba_2905_n197_m1.gml;1;0.1934;13;2;0.3346
ba_2938_n142_m2.gml;1;0.7578;1215;39;0.4226
ba_2943_n115_m3.gml;1;0.5129;3104;80;0.3973
ba_2977_n56_m2.gml;1;0.2003;179;17;0.3792
ba_2988_n198_m1.gml;1;0.1693;10;2;0.2673
ba_2996_n138_m3.gml;1;0.6927;5953;116;0.4658
ba_3017_n107_m3.gml;1;0.4756;5548;110;0.4471
ba_3034_n57_m3.gml;1;0.2496;605;34;0.4409
ba_3053_n149_m3.gml;1;0.8708;10589;168;0.5404
