instance;solved;time;GCN;LCN;stress
ba_806_n147_m2.gml;1;0.6434;1782;54;0.393
ba_808_n75_m2.gml;1;0.2664;353;24;0.4246
ba_8102_n50_m2.gml;1;0.1827;163;16;0.4415
ba_8137_n136_m3.gml;1;0.4544;4762;102;0.4045
ba_8154_n161_m1.gml;1;0.1389;6;2;0.2548
ba_8159_n106_m3.gml;1;0.4995;4147;91;0.4523
ba_8166_n143_m2.gml;1;0.5938;1358;38;0.3767
ba_8207_n78_m2.gml;1;0.2667;428;23;0.3951
ba_8208_n66_m3.gml;1;0.2485;3580;93;0.4916
ba_8212_n126_m2.gml;1;0.5867;2069;61;0.4633
ba_8214_n93_m3.gml;1;0.3238;1838;52;0.4151
ba_8223_n102_m3.gml;1;0.4147;3078;76;0.4224
ba_8260_n97_m3.gml;1;0.3562;3090;90;0.4139
ba_8272_n136_m3.gml;1;0.7643;5535;108;0.4216
ba_830_n107_m2.gml;1;0.4489;510;35;0.3763
ba_8328_n59_m3.gml;1;0.2253;823;35;0.4083
ba_8339_n139_m1.gml;1;0.1847;8;2;0.3364
ba_8364_n51_m3.gml;1;0.1822;1254;51;0.4578
ba_8419_n95_m3.gml;1;0.3751;9597;144;0.548
ba_8422_n70_m2.gml;1;0.2406;194;14;0.3793
ba_8436_n114_m3.gml;1;0.4586;3518;83;0.4331
ba_8448_n124_m2.gml;1;0.5499;854;30;0.4029
ba_8469_n105_m2.gml;1;0.3421;745;35;0.4083
ba_8471_n137_m1.gml;1;0.1563;3;2;0.3581
ba_8476_n121_m3.gml;1;0.4541;6225;118;0.4091
ba_8477_n84_m2.gml;1;0.2843;357;25;0.3665
ba_8482_n109_m3.gml;1;0.4104;2604;64;0.4158
ba_8514_n68_m2.gml;1;0.2066;192;16;0.3732
ba_8516_n124_m2.gml;1;0.4788;793;28;0.3415
ba_8545_n104_m3.gml;1;0.4413;4358;99;0.4729
ba_8547_n55_m2.gml;1;0.2252;132;12;0.3836
ba_8551_n70_m3.gml;1;0.2698;1910;60;0.415
ba_856_n138_m3.gml;1;0.7639;5048;113;0.4453
ba_8571_n82_m2.gml;1;0.3096;596;37;0.4232
ba_8614_n61_m3.gml;1;0.2513;1267;47;0.4535
ba_8633_n61_m2.gml;1;0.2293;202;16;0.4001
ba_8646_n154_m1.gml;1;0.1716;7;3;0.3592
ba_8651_n113_m2.gml;1;0.4972;1019;40;0.3944
ba_8666_n200_m1.gml;1;0.1824;16;4;0.312
ba_8676_n61_m2.gml;1;0.2489;263;23;0.4191
ba_8696_n193_m1.gml;1;0.1706;6;3;0.1922
ba_8722_n116_m3.gml;1;0.4456;6469;129;0.4357
ba_8723_n190_m1.gml;1;0.184;25;5;0.2509
ba_8734_n108_m2.gml;1;0.3683;651;28;0.3737
ba_8738_n136_m3.gml;1;0.5955;5113;108;0.4324
ba_877_n110_m2.gml;1;0.3595;804;28;0.3952
ba_8787_n76_m2.gml;1;0.286;368;31;0.3797
ba_8803_n120_m3.gml;1;0.4309;2928;79;0.4074
ba_8820_n70_m2.gml;1;0.2429;289;20;0.3749
ba_8845_n195_m1.gml;1;0.1545;15;4;0.2668
