instance;solved;time;GCN;LCN;stress
grafo6480.38.gml;1;0.1675;5;2;0.2365
grafo6482.87.gml;1;0.2401;28;5;0.3155
grafo6488.49.gml;1;0.1639;3;1;0.2237
grafo6489.48.gml;1;0.1635;7;3;0.2667
grafo6505.80.gml;1;0.1972;34;6;0.3197
grafo6506.80.gml;1;0.1838;34;6;0.3197
grafo6512.46.gml;1;0.1512;7;3;0.2294
grafo6514.39.gml;1;0.151;22;4;0.3277
grafo6519.56.gml;1;0.1675;18;4;0.3149
grafo6528.72.gml;1;0.1722;10;2;0.2603
grafo6531.38.gml;1;0.139;8;2;0.2507
grafo6539.47.gml;1;0.1713;19;5;0.3113
grafo6566.57.gml;1;0.1649;7;1;0.232
grafo6569.45.gml;1;0.171;8;2;0.246
grafo6584.61.gml;1;0.1854;13;3;0.2234
grafo6592.55.gml;1;0.1739;16;3;0.2941
grafo6599.36.gml;1;0.1543;8;3;0.2205
grafo6600.47.gml;1;0.1452;27;8;0.3459
grafo6603.49.gml;1;0.172;43;6;0.333
grafo6614.74.gml;1;0.1763;16;3;0.2681
grafo6616.45.gml;1;0.145;13;4;0.287
grafo6617.84.gml;1;0.2269;39;4;0.2996
grafo6618.82.gml;1;0.1967;12;3;0.2541
grafo6619.48.gml;1;0.1552;6;2;0.2624
grafo6627.57.gml;1;0.171;21;3;0.2919
grafo6630.56.gml;1;0.1625;8;2;0.1924
grafo6635.56.gml;1;0.1648;7;3;0.2471
grafo6636.56.gml;1;0.1689;7;3;0.2471
grafo6652.54.gml;1;0.1624;13;3;0.2915
grafo6654.87.gml;1;0.2112;31;4;0.3285
grafo6655.38.gml;1;0.1664;11;4;0.283
grafo6657.59.gml;1;0.169;13;3;0.3235
grafo6669.64.gml;1;0.1606;21;5;0.2914
grafo6674.46.gml;1;0.1577;6;2;0.2646
grafo6676.68.gml;1;0.1768;5;2;0.205
grafo6684.56.gml;1;0.1509;13;2;0.214
grafo6696.47.gml;1;0.16;17;4;0.4012
grafo6699.46.gml;1;0.1469;23;5;0.3067
grafo6701.47.gml;1;0.1719;35;7;0.3048
grafo6710.73.gml;1;0.1874;16;3;0.2279
grafo6711.81.gml;1;0.1774;9;2;0.28
grafo6727.38.gml;1;0.1547;2;1;0.201
grafo6733.57.gml;1;0.1276;4;1;0.185
grafo6738.47.gml;1;0.1445;11;2;0.3199
grafo6739.46.gml;1;0.1624;16;3;0.3148
grafo6743.82.gml;1;0.1773;18;4;0.3233
grafo6749.86.gml;1;0.1775;11;3;0.1921
grafo6760.54.gml;1;0.1696;8;2;0.1677
grafo6765.68.gml;1;0.1514;4;1;0.2346
grafo6769.61.gml;1;0.1775;16;3;0.3168
grafo6772.75.gml;1;0.1861;24;4;0.2402
grafo6782.46.gml;1;0.1655;11;3;0.2658
grafo6802.74.gml;1;0.1682;17;4;0.2484
grafo6807.38.gml;1;0.1545;5;2;0.2047
grafo6818.57.gml;1;0.1634;10;2;0.2807
grafo6819.42.gml;1;0.1598;11;4;0.3047
grafo6843.43.gml;1;0.1254;11;2;0.2796
grafo6848.39.gml;1;0.1725;8;2;0.2439
grafo6850.45.gml;1;0.1556;6;2;0.2365
grafo6851.49.gml;1;0.1536;14;3;0.2882
grafo6862.47.gml;1;0.1605;9;2;0.2254
grafo6863.40.gml;1;0.1769;15;3;0.3349
grafo6864.55.gml;1;0.1527;8;3;0.2781
grafo6871.54.gml;1;0.1639;20;4;0.2695
grafo6884.39.gml;1;0.1433;6;2;0.2832
grafo6886.43.gml;1;0.1276;17;4;0.2777
grafo6890.71.gml;1;0.2133;71;8;0.302
grafo6900.39.gml;1;0.1637;6;2;0.1871
grafo6902.44.gml;1;0.1678;7;2;0.3279
grafo6904.49.gml;1;0.1752;7;2;0.2965
grafo6905.37.gml;1;0.1521;4;1;0.3078
grafo6920.40.gml;1;0.1672;11;2;0.2361
grafo6925.44.gml;1;0.1575;13;4;0.2885
grafo6931.38.gml;1;0.106;4;2;0.1767
grafo6937.34.gml;1;0.1579;2;1;0.2612
grafo6942.46.gml;1;0.1565;14;3;0.3015
grafo6954.75.gml;1;0.1774;11;4;0.2109
grafo6956.39.gml;1;0.1625;16;6;0.3323
grafo6962.40.gml;1;0.1526;6;2;0.3531
grafo6967.69.gml;1;0.1736;12;3;0.3445
grafo6968.44.gml;1;0.1558;17;4;0.1911
grafo6970.44.gml;1;0.1621;2;1;0.2253
grafo6975.39.gml;1;0.2208;35;4;0.3038
grafo6977.74.gml;1;0.2065;33;4;0.3141
grafo6980.59.gml;1;0.1628;17;3;0.2241
grafo6986.46.gml;1;0.1664;7;2;0.284
grafo6991.44.gml;1;0.0689;6;2;0.3288
grafo6994.46.gml;1;0.1574;17;4;0.2549
grafo6999.94.gml;1;0.2165;20;3;0.2475
grafo7005.42.gml;1;0.1355;17;3;0.3072
grafo7008.37.gml;1;0.153;4;2;0.2467
grafo7010.49.gml;1;0.1667;13;3;0.3649
grafo7012.42.gml;1;0.1539;10;3;0.3318
grafo7014.47.gml;1;0.148;10;3;0.3587
grafo7017.45.gml;1;0.1602;14;3;0.3212
grafo7023.45.gml;1;0.1578;1;1;0.2751
grafo7039.45.gml;1;0.1644;11;4;0.3367
grafo7040.43.gml;1;0.1563;2;1;0.2291
grafo7045.45.gml;1;0.152;16;4;0.2905
grafo7049.42.gml;1;0.1513;4;1;0.2871
grafo7050.40.gml;1;0.1471;4;2;0.2851
grafo7056.41.gml;1;0.1631;1;1;0.1465
grafo7057.50.gml;1;0.1706;21;3;0.3244
grafo7061.53.gml;1;0.1601;16;4;0.2883
grafo7063.44.gml;1;0.1608;4;2;0.2709
grafo7064.44.gml;1;0.158;10;3;0.3603
grafo7066.53.gml;1;0.1602;13;4;0.2497
grafo7070.59.gml;1;0.1838;15;2;0.2511
grafo7081.38.gml;1;0.1615;13;4;0.3569
grafo7086.47.gml;1;0.1361;9;2;0.2515
grafo7090.54.gml;1;0.1772;10;2;0.2966
grafo7093.36.gml;1;0.1621;5;2;0.2176
grafo7095.53.gml;1;0.1708;7;3;0.1914
grafo7101.86.gml;1;0.2038;43;6;0.3552
grafo7102.49.gml;1;0.1495;9;4;0.2612
grafo7109.87.gml;1;0.194;30;5;0.2936
grafo7113.57.gml;1;0.1692;21;4;0.3337
grafo7128.48.gml;1;0.1607;9;3;0.281
grafo7130.90.gml;1;0.2229;67;6;0.3294
grafo7132.87.gml;1;0.183;28;4;0.3137
grafo7145.56.gml;1;0.149;5;2;0.2848
grafo7148.39.gml;1;0.1557;5;1;0.2289
grafo7156.67.gml;1;0.1709;5;3;0.277
grafo7158.39.gml;1;0.1573;10;2;0.2542
grafo7161.37.gml;1;0.1453;1;1;0.2339
grafo7168.39.gml;1;0.1374;14;3;0.3003
grafo7169.44.gml;1;0.1668;8;2;0.2898
grafo7171.44.gml;1;0.1622;22;5;0.3276
grafo7180.40.gml;1;0.1567;6;2;0.1952
grafo7190.52.gml;1;0.162;7;1;0.1964
grafo7191.41.gml;1;0.1322;7;3;0.3133
grafo7204.41.gml;1;0.1079;7;2;0.2933
grafo7212.42.gml;1;0.1498;6;2;0.2063
grafo7215.44.gml;1;0.1664;2;1;0.2152
grafo7220.42.gml;1;0.1673;12;2;0.3142
grafo7222.40.gml;1;0.1676;4;1;0.1981
grafo7225.37.gml;1;0.1516;4;2;0.2677
grafo7233.37.gml;1;0.1364;8;2;0.2535
grafo7240.60.gml;1;0.1742;26;5;0.3229
grafo7244.41.gml;1;0.0688;6;2;0.1717
grafo7246.42.gml;1;0.1281;4;1;0.1941
grafo7248.41.gml;1;0.1607;4;2;0.1748
grafo7250.47.gml;1;0.1659;12;2;0.2883
grafo7254.44.gml;1;0.1583;37;6;0.3539
grafo7261.42.gml;1;0.1615;17;4;0.3681
grafo7269.40.gml;1;0.1504;6;2;0.2487
grafo7278.42.gml;1;0.1678;9;2;0.2842
grafo7280.52.gml;1;0.1743;17;4;0.2492
grafo7281.46.gml;1;0.1509;3;2;0.3112
grafo7294.57.gml;1;0.1651;8;3;0.2178
grafo7297.39.gml;1;0.1515;21;3;0.291
grafo7301.40.gml;1;0.1634;3;1;0.1617
grafo7303.46.gml;1;0.153;7;2;0.3383
grafo7309.41.gml;1;0.1567;15;5;0.3226
grafo7313.43.gml;1;0.1505;6;3;0.2715
grafo7320.38.gml;1;0.1594;5;2;0.2348
grafo733.43.gml;1;0.1469;3;1;0.2348
grafo7332.49.gml;1;0.1674;58;9;0.3246
grafo7334.43.gml;1;0.1475;11;3;0.282
grafo7347.40.gml;1;0.1588;7;2;0.2515
grafo7360.44.gml;1;0.1611;10;4;0.2992
grafo7361.76.gml;1;0.1699;10;4;0.249
grafo7369.48.gml;1;0.1649;9;2;0.2203
grafo7372.41.gml;1;0.162;8;3;0.2587
grafo7384.45.gml;1;0.1564;5;2;0.2504
grafo7386.46.gml;1;0.1627;20;7;0.3373
grafo7388.50.gml;1;0.1613;7;2;0.1768
grafo7394.47.gml;1;0.156;5;1;0.3431
grafo7400.57.gml;1;0.1566;10;4;0.2406
grafo7403.43.gml;1;0.1518;12;3;0.2468
grafo7408.38.gml;1;0.1647;6;3;0.1975
grafo7410.37.gml;1;0.1531;6;2;0.2595
grafo7416.36.gml;1;0.1481;5;3;0.2567
grafo7424.45.gml;1;0.1519;7;2;0.2997
grafo743.32.gml;1;0.154;2;1;0.215
grafo7445.49.gml;1;0.1615;21;4;0.3285
grafo7456.43.gml;1;0.1619;34;6;0.3045
grafo7461.72.gml;1;0.1678;29;5;0.2722
grafo7475.40.gml;1;0.1464;10;3;0.1752
grafo7486.42.gml;1;0.1626;10;2;0.3204
grafo7489.39.gml;1;0.1539;6;3;0.2851
grafo7498.41.gml;1;0.1519;3;2;0.2445
grafo7504.50.gml;1;0.1595;25;6;0.2821
grafo7507.67.gml;1;0.1646;16;3;0.3382
grafo7508.56.gml;1;0.1747;24;4;0.2917
grafo7510.70.gml;1;0.1985;27;5;0.3358
grafo7516.69.gml;1;0.1652;21;4;0.2979
grafo7517.38.gml;1;0.1678;4;2;0.2094
grafo752.76.gml;1;0.1805;21;2;0.2848
grafo7520.45.gml;1;0.1353;3;1;0.2692
grafo7522.46.gml;1;0.1733;18;4;0.3735
grafo7528.66.gml;1;0.1551;9;3;0.2493
grafo7529.93.gml;1;0.2424;37;4;0.3334
grafo7533.50.gml;1;0.1556;6;2;0.3029
grafo7540.46.gml;1;0.166;15;3;0.2807
grafo7543.43.gml;1;0.1466;6;2;0.1993
grafo7551.39.gml;1;0.1503;5;2;0.2128
grafo7559.52.gml;1;0.1558;7;2;0.322
grafo7563.42.gml;1;0.1616;12;3;0.2993
grafo7576.38.gml;1;0.1556;3;2;0.1577
grafo7595.74.gml;1;0.1844;16;3;0.2679
grafo7598.43.gml;1;0.1528;4;1;0.2459
grafo7602.42.gml;1;0.1597;7;2;0.2457
grafo7607.42.gml;1;0.1685;15;4;0.341
grafo7609.42.gml;1;0.1632;18;5;0.3191
grafo7614.42.gml;1;0.159;10;3;0.3439
grafo7619.44.gml;1;0.1652;29;6;0.3282
grafo7628.47.gml;1;0.1687;18;4;0.3271
grafo7634.56.gml;1;0.1744;29;7;0.2783
grafo7646.50.gml;1;0.1598;6;2;0.2164
grafo7654.45.gml;1;0.166;8;2;0.3348
grafo7655.49.gml;1;0.1646;12;3;0.2395
grafo7658.44.gml;1;0.158;16;5;0.2773
grafo7665.42.gml;1;0.1567;29;7;0.3854
grafo7666.42.gml;1;0.1609;18;4;0.3129
grafo7671.86.gml;1;0.1902;21;4;0.1931
grafo7678.52.gml;1;0.1639;1;1;0.1888
grafo7692.42.gml;1;0.1633;3;1;0.1761
grafo7706.40.gml;1;0.1622;5;2;0.2849
grafo7709.42.gml;1;0.1615;6;2;0.2647
grafo7718.40.gml;1;0.1648;8;3;0.2887
grafo7724.54.gml;1;0.165;7;2;0.2033
grafo7727.42.gml;1;0.1635;2;1;0.2356
grafo7732.42.gml;1;0.1646;6;1;0.3055
grafo7742.46.gml;1;0.1584;3;1;0.3122
grafo7751.44.gml;1;0.1556;5;2;0.2686
grafo7753.40.gml;1;0.1525;18;6;0.3037
grafo7755.40.gml;1;0.1459;12;4;0.226
grafo7763.57.gml;1;0.1767;22;3;0.2627
grafo7766.40.gml;1;0.1579;4;1;0.2685
grafo7768.42.gml;1;0.1585;7;2;0.146
grafo7770.57.gml;1;0.1629;4;2;0.1835
grafo7772.62.gml;1;0.1741;12;3;0.3041
grafo7776.78.gml;1;0.1773;29;4;0.3406
grafo7780.90.gml;1;0.2367;62;7;0.3436
grafo7781.93.gml;1;0.1889;18;4;0.2786
grafo7788.84.gml;1;0.1821;38;9;0.2841
grafo7789.62.gml;1;0.1769;28;5;0.3319
grafo7792.96.gml;1;0.2442;33;4;0.2798
grafo7801.70.gml;1;0.1703;13;2;0.204
grafo7805.59.gml;1;0.1741;11;2;0.2933
grafo7807.76.gml;1;0.1843;18;2;0.2624
grafo7812.72.gml;1;0.1812;43;8;0.2318
grafo7813.62.gml;1;0.157;16;3;0.2417
grafo7814.61.gml;1;0.1761;28;4;0.2448
grafo7820.71.gml;1;0.1908;23;4;0.3527
grafo7826.87.gml;1;0.1955;37;5;0.2807
grafo7827.77.gml;1;0.1855;40;6;0.3208
grafo7832.69.gml;1;0.1832;19;4;0.2751
grafo7841.83.gml;1;0.1875;32;5;0.2513
grafo7843.81.gml;1;0.1949;26;4;0.2785
grafo7845.81.gml;1;0.2076;46;6;0.3412
grafo7849.77.gml;1;0.2101;50;5;0.3126
grafo7850.66.gml;1;0.1652;11;3;0.2885
grafo7855.69.gml;1;0.169;12;3;0.273
grafo7864.75.gml;1;0.182;24;4;0.2967
grafo7870.61.gml;1;0.1675;13;4;0.2095
grafo7875.62.gml;1;0.1798;42;5;0.2796
grafo7878.79.gml;1;0.1573;36;5;0.3048
grafo7879.80.gml;1;0.2065;54;6;0.3226
grafo7880.62.gml;1;0.1675;7;2;0.2477
grafo7881.61.gml;1;0.168;8;2;0.2198
grafo7883.65.gml;1;0.1761;17;4;0.3221
grafo7888.77.gml;1;0.202;26;5;0.2932
grafo7894.68.gml;1;0.1832;31;6;0.3148
grafo7896.67.gml;1;0.176;32;7;0.2926
grafo7899.78.gml;1;0.1865;18;3;0.2487
grafo7901.69.gml;1;0.178;18;6;0.2945
grafo7902.68.gml;1;0.189;34;5;0.284
grafo7904.82.gml;1;0.1771;22;3;0.288
grafo7915.78.gml;1;0.188;58;7;0.2925
grafo7917.84.gml;1;0.1983;38;4;0.3637
grafo7924.72.gml;1;0.1757;25;4;0.2916
grafo7926.75.gml;1;0.1948;17;3;0.2812
grafo7935.71.gml;1;0.172;10;3;0.2692
grafo7940.83.gml;1;0.2133;48;5;0.3728
grafo7948.90.gml;1;0.1941;36;4;0.341
grafo7949.84.gml;1;0.1869;24;5;0.2527
grafo7959.73.gml;1;0.1877;22;5;0.2594
grafo7961.63.gml;1;0.1532;6;2;0.2127
grafo7970.74.gml;1;0.1856;56;7;0.3405
grafo7980.62.gml;1;0.1666;39;4;0.3787
grafo7981.85.gml;1;0.2008;27;5;0.3253
grafo7987.79.gml;1;0.1954;33;4;0.3549
grafo7997.71.gml;1;0.1756;28;3;0.3621
grafo8005.84.gml;1;0.1864;38;4;0.2729
grafo8008.95.gml;1;0.2592;79;7;0.3309
grafo8024.85.gml;1;0.186;26;3;0.335
grafo8025.82.gml;1;0.1946;22;3;0.3598
grafo8031.68.gml;1;0.1867;24;3;0.2706
grafo8032.68.gml;1;0.1628;5;2;0.1971
grafo8034.91.gml;1;0.2206;19;3;0.2541
grafo8046.68.gml;1;0.1681;9;2;0.304
grafo8055.79.gml;1;0.2006;16;3;0.2795
grafo8058.80.gml;1;0.207;36;4;0.2822
grafo8065.82.gml;1;0.2143;49;7;0.3262
grafo8067.80.gml;1;0.2167;50;6;0.311
grafo8073.82.gml;1;0.2189;58;10;0.3076
grafo8079.81.gml;1;0.23;33;4;0.3135
grafo8083.88.gml;1;0.2454;39;4;0.2767
grafo8087.84.gml;1;0.1843;27;5;0.3133
grafo8092.84.gml;1;0.2011;35;6;0.3336
grafo8098.85.gml;1;0.1987;22;3;0.2536
grafo8099.75.gml;1;0.1993;19;4;0.3409
grafo8106.83.gml;1;0.2035;24;4;0.2342
grafo8108.85.gml;1;0.2295;34;5;0.2962
grafo8109.77.gml;1;0.2063;48;7;0.3158
grafo8116.60.gml;1;0.1659;20;4;0.264
grafo8127.78.gml;1;0.2145;99;10;0.345
grafo8133.82.gml;1;0.211;28;5;0.2805
grafo8137.86.gml;1;0.2281;61;7;0.3544
grafo8144.82.gml;1;0.185;17;4;0.2598
grafo8147.69.gml;1;0.1785;8;3;0.3247
grafo8148.85.gml;1;0.1891;55;8;0.3523
grafo8149.82.gml;1;0.2012;21;4;0.3501
grafo8151.76.gml;1;0.1955;14;3;0.2739
grafo8158.81.gml;1;0.2209;46;5;0.3428
grafo8171.62.gml;1;0.1645;4;1;0.2343
grafo8177.88.gml;1;0.2062;65;6;0.3348
grafo8178.85.gml;1;0.218;18;3;0.2934
grafo8190.73.gml;1;0.1712;28;4;0.3593
grafo8194.76.gml;1;0.1911;44;7;0.3639
grafo8200.76.gml;1;0.201;33;5;0.3584
grafo8203.81.gml;1;0.1938;31;4;0.2605
grafo8208.89.gml;1;0.1892;29;4;0.3379
grafo8214.94.gml;1;0.1984;47;8;0.2904
grafo8221.94.gml;1;0.2805;26;5;0.235
grafo8225.88.gml;1;0.2068;34;6;0.2568
grafo8227.69.gml;1;0.2092;79;8;0.3546
grafo8241.73.gml;1;0.1843;14;2;0.2612
