instance;solved;time;GCN;LCN;stress
ba_8866_n144_m3.gml;1;0.1207;6354;99;0.4202
ba_8894_n178_m1.gml;1;0.0093;9;4;0.3354
ba_8899_n74_m3.gml;1;0.0415;1698;59;0.4178
ba_896_n113_m2.gml;1;0.0348;914;28;0.4017
ba_8970_n84_m2.gml;1;0.021;418;19;0.4016
ba_8983_n108_m2.gml;1;0.0298;536;24;0.3844
ba_899_n74_m3.gml;1;0.0425;1622;55;0.4219
ba_9015_n135_m2.gml;1;0.053;1262;40;0.4225
ba_9035_n99_m2.gml;1;0.0331;738;28;0.3833
ba_9077_n110_m2.gml;1;0.0347;759;26;0.4229
ba_9079_n88_m3.gml;1;0.0598;2357;63;0.4266
ba_908_n106_m3.gml;1;0.0659;2810;69;0.4161
ba_9103_n183_m1.gml;1;0.0107;14;3;0.3178
ba_9123_n94_m1.gml;1;0.0082;3;1;0.3499
ba_9143_n80_m3.gml;1;0.0456;1818;50;0.4131
ba_9161_n142_m3.gml;1;0.1184;5947;97;0.4326
ba_9175_n85_m2.gml;1;0.0259;427;27;0.3935
ba_9177_n58_m2.gml;1;0.0178;175;12;0.3762
ba_9179_n113_m3.gml;1;0.0761;2913;80;0.408
ba_919_n117_m3.gml;1;0.0762;3399;80;0.4264
ba_9222_n146_m1.gml;1;0.0118;23;5;0.3632
ba_928_n98_m2.gml;1;0.0344;809;31;0.4037
ba_9292_n109_m3.gml;1;0.0684;2843;76;0.4178
ba_9296_n50_m3.gml;1;0.0241;554;24;0.4116
ba_9307_n174_m1.gml;1;0.01;11;2;0.3556
ba_9313_n140_m2.gml;1;0.0558;1673;40;0.3893
ba_9326_n56_m2.gml;1;0.0159;194;13;0.3994
ba_937_n68_m3.gml;1;0.0316;866;45;0.4195
ba_9413_n58_m3.gml;1;0.0283;736;30;0.4181
ba_9437_n190_m1.gml;1;0.0133;43;7;0.3343
ba_9482_n117_m3.gml;1;0.102;4941;86;0.4138
ba_9483_n52_m2.gml;1;0.0162;190;19;0.4055
ba_9523_n199_m1.gml;1;0.0146;54;7;0.3821
ba_953_n140_m3.gml;1;0.0996;4263;73;0.4171
ba_95_n183_m1.gml;1;0.0121;15;4;0.3823
ba_963_n109_m2.gml;1;0.0348;680;26;0.4081
ba_9650_n139_m2.gml;1;0.0502;1280;41;0.4
ba_9656_n116_m3.gml;1;0.0832;3541;66;0.4164
ba_9711_n130_m3.gml;1;0.1002;4492;64;0.4125
ba_9717_n181_m1.gml;1;0.0115;51;6;0.3789
ba_9766_n92_m3.gml;1;0.0605;2794;69;0.4219
ba_9777_n149_m2.gml;1;0.0494;1251;31;0.4266
ba_9796_n137_m3.gml;1;0.1234;6272;106;0.4133
ba_9820_n163_m1.gml;1;0.0102;8;2;0.3351
ba_9827_n169_m1.gml;1;0.0104;20;3;0.3589
ba_9844_n58_m2.gml;1;0.0159;204;13;0.4137
ba_9870_n73_m2.gml;1;0.0231;344;21;0.3779
ba_9930_n72_m2.gml;1;0.0217;338;16;0.3743
ba_994_n72_m2.gml;1;0.0233;484;25;0.4118
ba_9978_n123_m2.gml;1;0.0459;1219;40;0.4039
ba_02_n121_m3.gml;1;0.0906;4382;96;0.4211
ba_1009_n130_m3.gml;1;0.0829;3951;79;0.4178
ba_1019_n84_m2.gml;1;0.0226;468;24;0.3934
ba_1028_n139_m3.gml;1;0.0891;4414;74;0.4205
ba_1051_n130_m2.gml;1;0.0514;1267;36;0.4193
ba_1066_n140_m2.gml;1;0.0545;1359;41;0.417
ba_1078_n129_m2.gml;1;0.0464;1152;31;0.4045
ba_1095_n68_m2.gml;1;0.0211;308;17;0.4075
ba_1106_n64_m2.gml;1;0.0182;252;16;0.3851
ba_113_n149_m3.gml;1;0.1162;5175;99;0.4152
ba_1217_n141_m3.gml;1;0.1115;5012;78;0.4276
ba_1230_n129_m1.gml;1;0.0097;10;2;0.3179
ba_123_n89_m3.gml;1;0.0601;2327;55;0.4235
ba_125_n128_m3.gml;1;0.086;3799;70;0.4189
ba_1265_n105_m1.gml;1;0.01;6;2;0.3926
ba_1281_n124_m3.gml;1;0.088;4175;72;0.4085
ba_1303_n77_m3.gml;1;0.0459;1533;49;0.4188
ba_1309_n133_m3.gml;1;0.092;4308;77;0.4237
ba_1326_n140_m2.gml;1;0.0551;1627;44;0.4264
ba_1332_n94_m2.gml;1;0.0331;706;25;0.4184
ba_1338_n110_m3.gml;1;0.0689;2540;56;0.4183
ba_1362_n72_m3.gml;1;0.0407;1407;38;0.4242
ba_1370_n86_m2.gml;1;0.0276;471;24;0.3998
ba_1396_n126_m2.gml;1;0.0452;1114;38;0.3895
ba_1405_n138_m2.gml;1;0.0478;1117;27;0.4088
ba_1427_n114_m3.gml;1;0.0896;4220;84;0.4365
ba_1428_n117_m3.gml;1;0.0788;3207;63;0.4145
ba_143_n135_m3.gml;1;0.1055;4891;96;0.4207
ba_1457_n81_m2.gml;1;0.0263;403;21;0.3852
ba_1472_n140_m3.gml;1;0.1161;5752;95;0.4145
ba_1487_n162_m1.gml;1;0.0099;7;2;0.3944
ba_1528_n100_m2.gml;1;0.0308;539;20;0.3715
ba_1529_n56_m3.gml;1;0.025;616;29;0.4013
ba_1538_n91_m3.gml;1;0.0553;2146;65;0.4064
ba_1550_n91_m2.gml;1;0.026;530;27;0.3829
ba_1554_n117_m2.gml;1;0.0419;846;31;0.3823
ba_1562_n135_m3.gml;1;0.0997;4360;82;0.4088
ba_1597_n84_m3.gml;1;0.0445;1784;46;0.4392
ba_1604_n149_m3.gml;1;0.1372;7104;114;0.4224
ba_1607_n99_m3.gml;1;0.0554;2348;61;0.424
ba_1608_n120_m3.gml;1;0.0864;3858;80;0.4175
ba_1628_n148_m2.gml;1;0.0589;2092;53;0.407
ba_1650_n84_m2.gml;1;0.0214;425;19;0.396
ba_1721_n132_m3.gml;1;0.087;4437;86;0.4199
ba_1726_n130_m1.gml;1;0.0088;11;3;0.3284
ba_1729_n138_m3.gml;1;0.0962;5076;92;0.439
ba_1752_n95_m2.gml;1;0.024;450;22;0.3957
ba_1759_n143_m1.gml;1;0.009;17;4;0.3625
ba_1778_n128_m1.gml;1;0.0081;10;3;0.2989
ba_177_n110_m3.gml;1;0.0614;3227;68;0.41
ba_1782_n96_m2.gml;1;0.0272;647;21;0.3825
ba_1812_n198_m1.gml;1;0.0093;9;2;0.3137
ba_1824_n94_m3.gml;1;0.0486;1945;62;0.4064
ba_1829_n108_m3.gml;1;0.0585;2564;56;0.4026
ba_1870_n148_m2.gml;1;0.0456;1229;37;0.3868
ba_1872_n116_m2.gml;1;0.0326;794;27;0.403
ba_1885_n112_m3.gml;1;0.0656;3047;68;0.4212
ba_1903_n100_m3.gml;1;0.0641;2247;72;0.4162
ba_1910_n108_m2.gml;1;0.0325;710;27;0.4006
ba_197_n96_m2.gml;1;0.028;546;20;0.3843
ba_2018_n120_m3.gml;1;0.0882;3834;71;0.4156
ba_2027_n121_m3.gml;1;0.0821;3601;67;0.4245
ba_2045_n191_m1.gml;1;0.0122;34;4;0.3294
ba_2066_n55_m3.gml;1;0.0255;645;25;0.3874
ba_2073_n57_m2.gml;1;0.0162;153;15;0.3829
ba_2078_n104_m2.gml;1;0.0346;728;25;0.3785
ba_2097_n77_m3.gml;1;0.041;1408;48;0.4081
ba_2101_n114_m1.gml;1;0.0098;6;3;0.3523
ba_2110_n139_m2.gml;1;0.0507;1261;53;0.4067
ba_2113_n56_m3.gml;1;0.0286;767;30;0.399
ba_2116_n113_m2.gml;1;0.038;827;30;0.3865
ba_2171_n146_m3.gml;1;0.1066;4692;78;0.4146
ba_2214_n115_m3.gml;1;0.0834;3684;78;0.4229
ba_2230_n63_m3.gml;1;0.03;789;30;0.3858
ba_2271_n187_m1.gml;1;0.011;21;3;0.3765
ba_2274_n118_m2.gml;1;0.0449;1155;33;0.397
ba_2275_n132_m3.gml;1;0.1305;6615;103;0.4408
ba_2304_n88_m3.gml;1;0.0531;1794;56;0.4072
ba_2306_n148_m2.gml;1;0.0547;1571;47;0.4048
