instance;solved;time;GCN;LCN;stress
ba_8866_n144_m3.gml;1;0.1207;6354;99;0.4202
ba_8894_n178_m1.gml;1;0.0093;9;4;0.3354
ba_8899_n74_m3.gml;1;0.0415;1698;59;0.4178
ba_896_n113_m2.gml;1;0.0348;914;28;0.4017
ba_8970_n84_m2.gml;1;0.021;418;19;0.4016
ba_8983_n108_m2.gml;1;0.0298;536;24;0.3844
ba_899_n74_m3.gml;1;0.0425;1622;55;0.4219
ba_9015_n135_m2.gml;1;0.053;1262;40;0.4225
ba_9035_n99_m2.gml;1;0.0331;738;28;0.3833
ba_9077_n110_m2.gml;1;0.0347;759;26;0.4229
ba_9079_n88_m3.gml;1;0.0598;2357;63;0.4266
ba_908_n106_m3.gml;1;0.0659;2810;69;0.4161
ba_9103_n183_m1.gml;1;0.0107;14;3;0.3178
ba_9123_n94_m1.gml;1;0.0082;3;1;0.3499
ba_9143_n80_m3.gml;1;0.0456;1818;50;0.4131
ba_9161_n142_m3.gml;1;0.1184;5947;97;0.4326
ba_9175_n85_m2.gml;1;0.0259;427;27;0.3935
ba_9177_n58_m2.gml;1;0.0178;175;12;0.3762
ba_9179_n113_m3.gml;1;0.0761;2913;80;0.408
ba_919_n117_m3.gml;1;0.0762;3399;80;0.4264
ba_9222_n146_m1.gml;1;0.0118;23;5;0.3632
ba_928_n98_m2.gml;1;0.0344;809;31;0.4037
ba_9292_n109_m3.gml;1;0.0684;2843;76;0.4178
ba_9296_n50_m3.gml;1;0.0241;554;24;0.4116
ba_9307_n174_m1.gml;1;0.01;11;2;0.3556
ba_9313_n140_m2.gml;1;0.0558;1673;40;0.3893
ba_9326_n56_m2.gml;1;0.0159;194;13;0.3994
ba_937_n68_m3.gml;1;0.0316;866;45;0.4195
ba_9413_n58_m3.gml;1;0.0283;736;30;0.4181
ba_9437_n190_m1.gml;1;0.0133;43;7;0.3343
ba_9482_n117_m3.gml;1;0.102;4941;86;0.4138
ba_9483_n52_m2.gml;1;0.0162;190;19;0.4055
ba_9523_n199_m1.gml;1;0.0146;54;7;0.3821
ba_953_n140_m3.gml;1;0.0996;4263;73;0.4171
ba_95_n183_m1.gml;1;0.0121;15;4;0.3823
ba_963_n109_m2.gml;1;0.0348;680;26;0.4081
ba_9650_n139_m2.gml;1;0.0502;1280;41;0.4
ba_9656_n116_m3.gml;1;0.0832;3541;66;0.4164
ba_9711_n130_m3.gml;1;0.1002;4492;64;0.4125
ba_9717_n181_m1.gml;1;0.0115;51;6;0.3789
ba_9766_n92_m3.gml;1;0.0605;2794;69;0.4219
ba_9777_n149_m2.gml;1;0.0494;1251;31;0.4266
ba_9796_n137_m3.gml;1;0.1234;6272;106;0.4133
ba_9820_n163_m1.gml;1;0.0102;8;2;0.3351
ba_9827_n169_m1.gml;1;0.0104;20;3;0.3589
ba_9844_n58_m2.gml;1;0.0159;204;13;0.4137
ba_9870_n73_m2.gml;1;0.0231;344;21;0.3779
ba_9930_n72_m2.gml;1;0.0217;338;16;0.3743
ba_994_n72_m2.gml;1;0.0233;484;25;0.4118
ba_9978_n123_m2.gml;1;0.0459;1219;40;0.4039
