instance;solved;time;GCN;LCN;stress
ba_4833_n71_m1.gml;1;1.6827;1.0;1.0;0.416
ba_4888_n96_m2.gml;1;307.1133;462.0;21.0;0.6246
ba_4894_n52_m2.gml;1;38.5156;80.0;7.0;0.643
ba_4986_n93_m2.gml;1;187.1795;279.0;19.0;0.6493
ba_5043_n112_m1.gml;1;4.0529;6.0;2.0;0.4235
ba_5060_n198_m1.gml;1;1.9559;1.0;1.0;0.4845
ba_508_n81_m3.gml;1;400.0116;947.0;33.0;0.6172
ba_5091_n54_m3.gml;1;137.9909;439.0;17.0;0.5923
ba_5098_n78_m3.gml;1;363.785;934.0;29.0;0.622
ba_5149_n93_m2.gml;1;236.4817;348.0;14.0;0.6269
ba_514_n51_m3.gml;1;101.7986;374.0;22.0;0.6234
ba_5151_n153_m2.gml;0;900.0;;;
ba_5154_n70_m3.gml;1;231.1342;625.0;29.0;0.5699
ba_5193_n121_m3.gml;0;900.0;;;
ba_5213_n101_m3.gml;1;749.7864;1320.0;45.0;0.616
ba_5226_n94_m2.gml;1;237.7269;371.0;19.0;0.6183
ba_5232_n51_m3.gml;1;104.4603;417.0;19.0;0.6172
ba_5276_n95_m2.gml;1;249.9033;411.0;19.0;0.6306
ba_5280_n130_m2.gml;1;708.3137;782.0;25.0;0.6375
ba_5299_n132_m1.gml;1;4.8238;4.0;2.0;0.4284
ba_5306_n100_m2.gml;1;341.2175;363.0;19.0;0.678
ba_5313_n119_m1.gml;1;4.7365;5.0;2.0;0.4124
ba_5314_n155_m1.gml;1;1.8881;3.0;1.0;0.4575
ba_5322_n53_m2.gml;1;33.3312;61.0;7.0;0.622
ba_5336_n134_m1.gml;1;9.0368;8.0;2.0;0.4561
ba_5352_n66_m3.gml;1;218.7888;753.0;25.0;0.6069
ba_5358_n74_m2.gml;1;115.7915;173.0;15.0;0.6446
ba_5359_n114_m2.gml;1;427.6164;481.0;23.0;0.6679
ba_5363_n50_m3.gml;1;77.4549;287.0;20.0;0.5854
ba_5380_n53_m3.gml;1;95.1311;285.0;17.0;0.5575
ba_5388_n143_m3.gml;0;900.0;;;
