instance;solved;time;GCN;LCN;stress
ba_806_n147_m2.gml;0;900.0;;;
ba_808_n75_m2.gml;1;128.0922;252.0;14.0;0.6295
ba_8102_n50_m2.gml;1;38.0301;84.0;8.0;0.6282
ba_8137_n136_m3.gml;0;900.0;;;
ba_8154_n161_m1.gml;1;4.749;3.0;1.0;0.4163
ba_8159_n106_m3.gml;0;900.0;;;
ba_8166_n143_m2.gml;1;777.0713;785.0;26.0;0.6802
ba_8207_n78_m2.gml;1;159.6173;321.0;15.0;0.6416
ba_8208_n66_m3.gml;1;210.6209;661.0;24.0;0.5957
ba_8212_n126_m2.gml;1;752.8896;1008.0;33.0;0.6379
ba_8214_n93_m3.gml;1;583.7121;1248.0;43.0;0.5983
ba_8223_n102_m3.gml;1;795.1965;1702.0;38.0;0.5841
ba_8260_n97_m3.gml;1;718.9734;1891.0;49.0;0.6683
ba_8272_n136_m3.gml;0;900.0;;;
ba_830_n107_m2.gml;1;306.9782;374.0;20.0;0.6604
ba_8328_n59_m3.gml;1;161.6979;416.0;20.0;0.5691
ba_8339_n139_m1.gml;1;4.9534;5.0;2.0;0.4893
ba_8364_n51_m3.gml;1;102.0199;421.0;19.0;0.6353
ba_8419_n95_m3.gml;1;874.2867;2117.0;45.0;0.6389
ba_8422_n70_m2.gml;1;96.7272;161.0;10.0;0.6194
ba_8436_n114_m3.gml;0;900.0;;;
ba_8448_n124_m2.gml;1;537.7661;661.0;23.0;0.6423
ba_8469_n105_m2.gml;1;375.7294;466.0;26.0;0.6269
ba_8471_n137_m1.gml;1;1.6086;2.0;1.0;0.4262
ba_8476_n121_m3.gml;0;900.0;;;
