instance;solved;time;GCN;LCN;stress
grafo3633.38.gml;1;7.3797;16;4;0.5164
grafo3638.57.gml;1;6.727;8;3;0.4108
grafo3641.52.gml;1;6.1973;13;3;0.4877
grafo3645.35.gml;1;2.6381;14;3;0.5358
grafo3655.39.gml;1;2.6374;4;2;0.4175
grafo3657.42.gml;1;4.6882;5;2;0.4782
grafo3669.43.gml;1;1.853;3;1;0.3589
grafo3670.41.gml;1;4.9447;5;2;0.5045
grafo3679.39.gml;1;0.5771;1;1;0.3195
grafo3682.49.gml;1;9.5455;14;2;0.5794
grafo3691.41.gml;1;2.803;4;1;0.4368
grafo3698.56.gml;1;13.3368;24;4;0.5232
grafo3704.52.gml;1;5.0457;8;2;0.4204
grafo3707.43.gml;1;2.0329;2;1;0.3615
grafo3717.51.gml;1;5.8625;13;3;0.4611
grafo3720.35.gml;1;3.0162;2;1;0.5321
grafo3722.40.gml;1;4.6796;6;2;0.4504
grafo3723.53.gml;1;6.8693;13;3;0.5012
grafo3728.37.gml;1;2.0594;2;1;0.4301
grafo3731.47.gml;1;6.3778;16;3;0.4886
grafo3748.54.gml;1;8.0715;13;2;0.4963
grafo3750.53.gml;1;4.4969;6;2;0.4159
grafo3752.38.gml;1;1.9508;1;1;0.3864
grafo3756.90.gml;1;36.9541;44;5;0.566
grafo3757.39.gml;1;7.1521;14;3;0.5703
grafo3767.36.gml;1;2.2538;1;1;0.4881
grafo3775.45.gml;1;1.8129;3;1;0.3923
grafo3776.53.gml;1;10.6963;19;4;0.5524
grafo3779.52.gml;1;4.81;7;3;0.5001
grafo3785.54.gml;1;5.7284;12;2;0.4856
grafo3794.41.gml;1;2.5973;3;1;0.5208
grafo3804.40.gml;1;2.2725;2;1;0.3688
grafo3809.43.gml;1;0.7512;1;1;0.3068
grafo3821.55.gml;1;18.8683;30;5;0.4932
grafo3827.42.gml;1;4.2375;4;1;0.4465
grafo3832.52.gml;1;6.2034;10;2;0.5382
grafo3833.55.gml;1;4.3519;7;2;0.4793
grafo3841.57.gml;1;9.3518;19;3;0.6065
grafo3850.54.gml;1;4.3894;5;1;0.4215
grafo3852.52.gml;1;5.7137;7;2;0.5338
grafo3857.39.gml;1;3.7623;6;2;0.5375
grafo3859.39.gml;1;3.0765;4;2;0.519
grafo3867.59.gml;1;10.2333;10;3;0.4928
grafo3876.94.gml;1;28.6508;20;2;0.5815
grafo3877.33.gml;1;2.0143;8;3;0.5175
grafo3883.42.gml;1;6.5593;11;3;0.5441
grafo3891.39.gml;1;1.2037;5;1;0.3366
grafo3896.38.gml;1;3.2127;2;2;0.4784
grafo3908.41.gml;1;4.0008;12;3;0.5188
grafo3911.34.gml;1;1.9508;1;1;0.3699
grafo3913.43.gml;1;6.938;16;2;0.5061
grafo3916.40.gml;1;2.1686;3;1;0.4597
grafo3917.38.gml;1;4.2934;8;2;0.5583
grafo3919.38.gml;1;4.4688;3;1;0.5206
grafo3927.45.gml;1;1.7293;5;2;0.3853
grafo3929.62.gml;1;6.9692;4;2;0.4452
grafo3933.43.gml;1;3.785;8;2;0.488
grafo3942.40.gml;1;2.1255;3;2;0.428
grafo3944.39.gml;1;5.0028;6;2;0.4509
grafo3957.57.gml;1;10.79;15;3;0.4962
grafo3965.57.gml;1;5.4106;5;1;0.4308
grafo3969.54.gml;1;7.0632;5;2;0.4672
grafo3972.43.gml;1;5.8565;8;2;0.5676
grafo3981.43.gml;1;2.3945;1;1;0.4257
grafo3987.40.gml;1;3.6991;8;3;0.4483
grafo3992.44.gml;1;4.0072;11;3;0.4618
